movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Abandon , 2002 , PG-13 ,4,4,4,"Katie Holmes stars as a college student who's under extreme pressure: Not only because she has exams, her thesis and interviews to worry about, but a police detective (Benjamin Bratt) shows up and begins to investigate the two-year-old disappearance of her boyfriend (Charlie Hunnam). Also with Zooey Deschanel and Gabrielle Union. [1:39]"
Abduction , 2011 , PG-13 ,4,5,5,"After a teenager (Taylor Lautner) discovers that who he thought were his parents are actually CIA agents assigned to keep him safe, his world quickly comes unraveled. He then sets out to find the truth about his life. Also with Lily Collins, Alfred Molina, Maria Bello and Sigourney Weaver. Directed by John Singleton. [1:46]"
About A Boy , 2002 , PG-13 ,3,3,5,"A superficial, shallow and wealthy man (Hugh Grant) who does absolutely nothing with his life, means nothing to anybody and cares about no one, is put to the test when a 12-year-old boy (Nicholas Hoult) and his suicidal mother (Toni Collette) come into his life. Based on Nick Hornby's novel. Also with Rachel Weisz and Isabel Brook. [1:45]"
About Last Night , 2014 , R ,7,2,10,"Two couples (Keven Hart and Regina Hall, and Michael Ealy and Joy Bryant) meet in a bar. They explore new love and casual sex, but are stymied by the realities of daily life. Also with Paula Patton and Christopher McDonald. Directed by Steve Pink. [1:40]"
About Schmidt , 2002 , R ,6,3,5,"Warren Schmidt (Jack Nicholson) reaches retirement and is supposed to start a new life traveling in a Winnebago with his wife. But the problem is that Schmidt can't quite figure out what he's supposed to do now, and hence who he really is. He ends up spending a lot of time watching television, and gets himself a foster son to whom he writes letters detailing his frustrations. Desperate to get away from the strain of trying to re-adjust, Schmidt takes a road trip to visit his daughter and help her plan her wedding -- but she does not welcome him with open arms. Also with Hope Davis, Dermot Mulroney, Kathy Bates and Howard Hesseman. [2:04]"
Above the Rim , 1994 , R ,0,6,9,"Basketball movie done with a ""gangsta"" flavor. With Duane Martin, Leon, Marlon Wayans and Tupac Shakur. Directed by Jeff Pollack. [1:37]"
"Abraham Lincoln, Vampire Hunter ", 2012 , R ,5,8,5,"Based on the novel by Seth Grahame-Smith: Young Abe Lincoln witnesses a fatal attack on his mother (Robin McLeavy) by a vampire (Marton Csokas) and as he grows into adulthood he vows to kill all vampires. With the help of one renegade vampire (Dominic Cooper), now President Lincoln (Benjamin Walker) frees the United States from the undead. Also with Anthony Mackie, Jimmi Simpson, Mary Elizabeth Winstead, Erin Wasson and Rufus Sewell. Directed by Timur Bekmambetov. [1:45]"
Absolutely Fabulous: The Movie , 2016 , R ,5,4,6,"Based on the British TV series: Two well-known but aging fashionistas (Jennifer Saunders and Joanna Lumley) spend large amounts of money shopping, drinking champagne and clubbing across London. The money dries up and further disaster strikes when one of them is blamed for a famous model's plunge from a balcony into the Thames River. Also with Jane Horrocks, Julia Sawalha and June Whitfield. Directed by Mandie Fletcher. A few lines of dialogue are in French and Japanese and are not translated. [1:31]"
Absolute Power , 1997 , R ,5,7,5,"Clint Eastwood is a thief who witnesses a crime and a White House cover-up. Also with Gene Hackman, Ed Harris, Scott Glenn and Judy Davis. Directed by Clint Eastwood. [2:01]"
Accepted , 2006 , PG-13 ,4,3,5,"A young man (Justin Long) is turned down from every college he applies to, and realizing he's not the only one to have been so thoroughly rejected, he decides to create his own institution of higher learning. Also with Blake Lively, Lewis Black, Adam Herschman and Jonah Hill. Directed by Steve Pink. [1:32]"
The Accountant , 2016 , R ,1,7,7,"A boy with autism and uncanny math skills grows up to become a forensic accountant (Ben Affleck). His chief clients are major crime families, but he takes on a legitimate case for a robotics company and when he finds massive embezzlement people begin dying at the hands of hired assassins while the FBI is unable to stop the murders. Also with Anna Kendrick, Jon Bernthal, Jeffrey Tambor, J.K. Simmons and John Lithgow. Directed by Gavin O'Connor. A few lines of dialogue are in a foreign language and accompanied by English subtitles. [2:08]"
Ace Ventura: Pet Detective , 1994 , PG-13 ,4,4,4,"Jim Carrey, star of the TV show ""In Living Color"" plays Ace Ventura, an odd detective who's trying to find a kidnapped bottle-nosed dolphin which is the team mascot of the Miami Dolphins. Also with Sean Young, Courteney Cox and Tone Loc. Directed by Tom Shadyac. [1:37]"
Ace Ventura: When Nature Calls , 1995 , PG-13 ,3,4,1,"Jim Carrey is back as the pet detective and this time he's trying to find a sacred bat in Africa. Also Jim Carrey, Ian McNeice, Sophie Okonedo and Tommy Davidson. Directed by Steve Oedekerk. [1:34]"
A.C.O.D. , 2013 , R ,6,2,5,"A seemingly well-adjusted restaurateur (Adam Scott) was caught up in the 15-year divorce proceedings of his parents and then discovered that he was the subject of a study about the children of divorce. After his younger brother becomes engaged, he is thrust back into the study for a follow-up. Also with Richard Jenkins, Catherine O'Hara, Amy Poehler, Mary Elizabeth Winstead and Clark Duke. Directed by Stu Zicherman. [1:28]"
Across the Universe , 2007 , PG-13 ,7,5,5,"A musical set during the turbulent 1960s and the Vietnam War and told through many Beatles songs performed by different characters: The story is about a Princeton dropout, his younger sister, and a ship welder from Liverpool who's looking for his father in America. All end up in New York City. With Evan Rachel Wood, Martin Luther, Dana Fuchs, Jim Sturgess and T.V. Carpio. Directed by Julie Taymor. [2:13]"
