movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Babe , 1995 , G ,0,2,1,The story of a young pig who dares to be different. He doesn't want to be a pig: he wants to be a sheepdog.
Babel , 2006 , R ,8,7,6,"An intricately woven tale of the inadvertent connections between people from around the world whose lives have been affected by one gun. It all starts with a rifle shot in the remote sands of the Moroccan desert, which starts a chain of events linking an American couple, two Moroccan boys, a nanny illegally crossing into Mexico with the two young children in her charge and a Japanese teen. With Brad Pitt, Cate Blanchett, Gael Garcia Bernal, Elle Fanning and Koji Yakusho. Directed by Alejandro Gonzalez Inarritu. [2:22]"
Babe: Pig in the City , 1998 , G ,1,5,1,"Babe is back, this time trying to save his boss's farm from foreclosure. Starring James Cromwell, Magda Szubanski, Elizabeth Daily, Glenne Headly, Mickey Rooney and Steven Wright."
The Babe , 1992 , PG ,1,1,5,"John Goodman plays the Sultan of Swat, covering his life from reform school until his retirement from baseball in 1935."
Babies , 2010 , PG ,5,2,0,"A documentary journey through the lives of four babies as they experience their first year. The children are Ponijao, who lives with her family near Opuwo, Namibia, Bayarjargal, who lives with his family in Mongolia, Mari, who lives with her family in Tokyo, Japan, and Hattie, who lives with her family stateside in San Francisco. Directed by Thomas Balmès. [1:19]"
Baby Boy , 2001 , R ,9,6,10,"Tyrese Gibson stars as a 20-year-old African-American man who's unemployed, has two children by two different women (he's married to neither) and is still living with his 36-year-old mother. Directed by John Singleton, the film follows Gibson's well-meaning but infantile character as he comes to somewhat of an awakening and tries to take responsibility for his life and actions. Also with Omar Gooding, A.J. Johnson, Snoop Dogg, Taraji P. Henson, Ving Rhames, Tamara LaSeon Bass, Kaylan Bolton, Kylan Bolton and Calvin Broadus. [2:08]"
Baby Driver , 2017 , R ,4,7,10,"A man (Ansel Egort) with tinnitus from a childhood accident has to constantly listen to music to distract himself and this peculiar routine helps him become an expert getaway driver for a sophisticated robbery ringleader (Kevin Spacey). When the driver falls in love with a waitress (Lily James), he wants to start a new life, but his boss won't let him. Also with Eiza González, Jon Hamm, Jamie Foxx and Jon Bernthal. Directed by Edgar Wright. Two men speak to each other throughout the film with American Sign Language accompanied by English subtitles. [1:53]"
Baby Geniuses , 1999 , PG ,2,3,3,"Kathleen Turner and Christopher Lloyd are greedy scientists who raise a group of children in a lab in the hope of discovering a lucrative method of creating geniuses. Also with Kim Cattrall, Peter MacNicol, Dom DeLuise, Miko Hughes, Ruby Dee, Seth Adkins, Kaye Ballard and Kyle Howard. [1:34]"
Babylon A.D. , 2008 , PG-13 ,4,7,5,"It's the near future and a mercenary (Vin Diesel) is hired to transport a young woman (Mélanie Thierry) across the U.S./Canada border. He doesn't know why his client wants her or what they'll do with her when he delivers her, and he does not care -- at least in the beginning. Also with Michelle Yeoh, Lambert Wilson, Gerard Depardieu, Charlotte Rampling, Mark Strong and Joel Kirby. Directed by Mathieu Kassovitz. [1:30]"
Baby Mama , 2008 , PG-13 ,5,3,5,"A 37-year-old, very successful businesswoman (Tina Fey) feels that the time has come for her to have a child. She has no significant other in her life and determines that she will try to do it on her own. After unsuccessful attempts at in vitro fertilization and adoption, she reluctantly hires a surrogate (Amy Poehler). Also with Sigourney Weaver, Dax Shepard, Greg Kinnear, Romany Malco, Maura Tierney and Steve Martin. Directed by Michael McCullers II. [1:36]"
Baby's Day Out , 1994 , PG ,1,3,0,"Reminiscent of ""Home Alone,"" with a baby which proves too tough for its bumbling kidnappers."
The Baby-Sitters Club , 1995 , PG ,1,1,1,"Based on the popular book series, a group of prepubescent girls find friendship as they pool babysitting gigs."
The Bachelor , 1999 , PG-13 ,3,3,6,"A content bachelor learns he has 24 hours to get married if he wants to receive a $100 million inheritance from his recently deceased grandfather. With Chris O'Donnell, Renée Zellweger, Brooke Shields, Artie Lange, Ed Asner, James Cromwell, Hal Holbrook, Marnie Alexenburg, T.L. Brooke, Mariah Carey, Stacy Edwards, Jennifer Esposito, Rebecca Gray, Brian Leonard, Marley Shelton, Sarah Silverman and Katharine Towne. [1:42]"
Bachelorette , 2012 , R ,8,4,10,"When long-time friends come together to attend the wedding of one of them (Rebel Wilson), their individual dysfunctions become evident. Also with Kirsten Dunst, Lizzy Caplan, Isla Fisher, Andrew Rannells, Horatio Sanz, Kyle Bornheimer, James Marsden and Adam Scott. Directed by Leslye Headland. [1:29]"
Backbeat , 1994 , R ,9,5,8,"Story of the early, pre-Ringo Beatles, about their years in Hamburg."
Backstage , 2000 , R ,8,2,10,"Documentary showing onstage performances and a behind-the-scenes view of the 1999 Hard Knock Life tour featuring Hip Hop artists Jay-Z, DMX, Method Man, Redman, Beanie Sigel, Memphis Bleek, Ja Rule, DJ Clue and Amil. [1:39]"
The Back-up Plan , 2010 , PG-13 ,6,4,5,"When a single woman in her late 30s (Jennifer Lopez) goes through artificial insemination to become pregnant, her husband-less world actually seems complete. That is, until she meets the man of her dreams (Alex O'Loughlin) on that very same day. Also with Michaela Watkins, Eric Christian Olsen and Anthony Anderson. Directed by Alan Poul. [1:48]"
Bad Boys , 1995 , R ,3,7,9,Will Smith and Martin Lawrence star as two wise-cracking Miami detectives investigating a drug case.
Bad Boys II , 2003 , R ,6,9,10,Will Smith and Martin Lawrence reprise their roles as Miami Narcotics detectives Mike Lowrey and Marcus Burnett. This time around they've been assigned to a high-tech task force investigating a Cuban drug lord (Jordi Molla) who's moving huge shipments of the designer drug Ecstasy by sea. Things get complicated when Marcus' sister (Gabrielle Union) is kidnapped and they must go to Cuba to rescue her. Also with Peter Stormare. Directed by Michael Bay. [2:24]
Bad Company , 1995 , R ,8,5,6,Ellen Barkin and Laurence Fishburne star as former CIA agents now in private industry.
Bad Company , 2002 , PG-13 ,3,5,5,"A down-on-his-luck man (Chris Rock) goes undercover for the CIA in order to help get a nuclear bomb off the black market and away from an ex-Russian Mafia gangster. The man is posing as his twin brother, a super-duper spy who was assassinated early in the negotiating process. Anthony Hopkins co-stars as the veteran CIA agent who has to help him become a spy within nine short days. Also with Gabriel Macht, John Slattery and Peter Stormare. [1:57]"
Bad Girls , 1994 , R ,2,5,4,"Standard western with Madeleine Stowe, Mary Stuart Masterson, Andie MacDowell and Drew Barrymore as cowgirls on the run."
Bad Grandpa , 2013 , R ,7,5,6,"A boy (Jackson Nicoll) is traveling cross-country with his widower grandfather (Johnny Knoxville) after his mother (Georgina Cates) goes to jail and he experiences a variety of crude practical jokes perpetrated by his octogenarian mentor; they involve funeral homes, biker bars, male strip clubs and children's beauty pageants. Also with Spike Jonez. Directed by Jeff Tremaine. Some English subtitles appear for unclear conversations. [1:33]"
Bad Lieutenant: Port of Call New Orleans , 2009 , R ,8,8,10,"A police detective (Nicolas Cage) serving in post-Katrina New Orleans becomes addicted to prescription pain medication after being injured in the line of duty, and quickly starts using street drugs. As he investigates the murder of a family of Senegalese immigrants, he's compromised by his addictions to drugs and gambling, and his criminal associations. Also with Eva Mendes, Val Kilmer, Brad Dourif and Xzibit. Directed by Werner Herzog. [2:01]"
Bad Moms , 2016 , R ,7,3,10,"An upper middle class wife and mom (Mila Kunis) seems to have the perfect life but she's over-committed and exhausted. Needing a change, she gathers other stressed-out moms (Kristen Bell and Kathryn Hahn) to explore unconventional lifestyles and in a shared quest for freedom the trio butts heads with an irksome PTA president (Christina Applegate) and a clique of smug moms. Also with Annie Mumolo and Jada Pinkett Smith. Directed by Jon Lucas & Scott Moore. [1:41]"
A Bad Moms Christmas , 2017 , R ,7,4,10,"Three over-worked suburban moms (Mila Kunis, Kristen Bell, Kathryn Hahn) rebel against the expected trappings of Christmas, when their mothers barge in unexpectedly and make creating a perfect holiday for their families almost impossible. Also with Christine Baranski, Cheryl Hines and Susan Sarandon. Directed by Jon Lucas & Scott Moore. [1:44]"
