movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Cabin Boy , 1994 , PG-13 ,3,2,4,"Chris Elliott plays an arrogant, upper-class ""fancy lad"" who mistakenly boards the wrong sea vessel, and finds himself in the company of drunk, smelly sailors who will teach him the true meaning of respect."
Cabin Fever , 2003 , R ,6,10,10,"A group of college students takes off for a vacation in a secluded log cabin in the woods, with plans for a lot of drinking and sex. Not long after they arrive a very sick, delirious man covered in bloody sores knocks on their door pleading for help but he's chased away after being set on fire. But contact has been made and soon one of them seems to have contracted whatever their visitor had. Uncontrollable paranoia and terror ensue and the friends turn on each other. With Jordan Ladd, James DeBello, Rider Strong, Joey Kern and Cerina Vincent. Directed by Eli Roth. [1:34]"
The Cabin in the Woods , 2012 , R ,6,9,10,"Several friends head to a remote cabin for a weekend of partying but shortly after they arrive strange noises and occurrences put them on their guard. Then one by one they begin to get killed. With Kristen Connolly, Chris Hemsworth, Anna Hutchison, Jules Fran Kranz, Jesse Williams, Richard Jenkins, Bradley Whitford, Brian White and Amy Acker. Directed by Drew Goddard. [1:35]"
The Cable Guy , 1996 , PG-13 ,3,3,4,Jim Carrey is the cable guy who just wants to be customer Matthew Broderick's best pal.
Caché , 2005 , R ,6,6,5,"Juliette Binoche and Daniel Auteuil star as a couple that's too busy to spend much time together, until they begin to receive videotapes apparently filmed by someone who is stalking them. Neither has any idea who the stalker is, although as the footage becomes more personal, they begin to think that he has known them for a while. In trying to solve the mystery, many other secrets are uncovered. Also with Maurice Bénichou, Annie Girardot and Lester Makedonsky. Directed by Michael Haneke. In French with English subtitles. [2:01]"
Cadillac Records , 2008 , R ,7,5,10,"Based on a true story: Adrien Brody stars as Leonard Chess, the man who started the Chess Records label and recorded such artists as Muddy Waters (Jeffrey Wright), Etta James (Beyonce Knowles), Howlin' Wolf (Eamonn Walker) and Chuck Berry (Dante 'Mos Def' Smith). Also with Gabrielle Union, Columbus Short, Emmanuelle Chriqui, Cedric The Entertainer, Tammy Blanchard, Norman Reedus, Jill Flint, Chyna Layne and Albert Jones. Directed by Darnell Martin. [1:48]"
Café Society , 2016 , PG-13 ,5,5,4,"A naïve man (Jesse Eisenberg) in 1930s New York needs a job away from his father's confining shop and travels to Hollywood to work for his uncle (Steve Carell), a talent agent. Problems arise when the young man unwittingly falls in love with his uncle's mistress (Kristen Stewart) and returns to NYC to manage his brother's (Corey Stoll) restaurant but his broken heart follows him. Also with Jeannie Berlin, Blake Lively, Parker Posey and Ken Stott. Directed by Woody Allen. [1:36]"
Cake , 2014 , R ,5,4,7,"A woman (Jennifer Aniston) suffering from debilitating pain after an accident struggles with the suicide of a friend in her support group. Also with Adriana Barraza, Anna Kendrick, Sam Worthington, Mamie Gummer, Felicity Huffman, William H. Macy and Chris Messina. Directed by Daniel Barnz. Several lines of dialogue are in Spanish with English subtitles. [1:42]"
Calendar Girl , 1993 , PG-13 ,5,3,5,"Jason Priestley and buddies travel to California in 1962 to meet their idol, Marilyn Monroe."
Calendar Girls , 2003 , PG-13 ,5,1,4,"A group of middle-aged women in a small English country town decide to use their women's group charity drive to raise money for new furniture in a hospital waiting room after one of them loses her husband to leukemia. They decide that the only way to raise real money is to sell a calendar of themselves posing in the nude. Based on a true story. With Julie Walters, Helen Mirren, Penelope Wilton, Annette Crosbie and John Alderton. Directed by Nigel Cole [1:48]"
The Call , 2013 , R ,6,7,5,"A 911 dispatcher (Halle Berry) works in a big city where she receives repeat calls from one man as he murders teenage girls. A call for help from the latest victim (Abigail Breslin) causes her to go out and confront the killer. Also with Morris Chestnut, Michael Imperioli and Michael Eklund. Directed by Brad Anderson. [1:35]"
Call Me By Your Name , 2017 , R ,8,1,5,"Set in 1983: A man (Armie Hammer) working as a research assistant with a professor in Northern Italy befriends the professor's teenage son (Timothée Chalamet) and their relationship blossoms into sexual romance. Also with Michael Stuhlbarg, Amira Casar and Esther Garrel. Directed by Luca Guadagnino. Several lines of dialogue are spoken in Italian with English subtitles. [2:12]"
