movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Daddy Day Camp , 2007 , PG ,3,3,3,"The successful Daddy Day Care business is carried over to summer day camp when one of the owners remembers what a horrible camping experience he had as a boy and wants to prevent his young son from suffering the same disappointment. But without any knowledge of the outdoors and with decrepit facilities, the experience proves near catastrophic. With Cuba Gooding Jr., Lochlyn Munro, Paul Rae, Richard Gant and Spencir Bridges. Directed by Fred Savage. [1:25]"
Daddy Day Care , 2003 , PG ,1,3,3,"A successful executive (Eddie Murphy) loses his job when the division he heads is closed. He vows to have another job within a week, but when that doesn't pan out, he is forced to come up with another plan. So, along with a colleague who's also jobless, he opens a free-spirited day care center in his home. Their upstart enterprise goes head-to-head with a prestigious, traditional center run by a ruthless businesswoman (Anjelica Huston). Also with Steve Zahn, Lacey Chabert and Jeff Garlin. Directed by Steve Carr. [1:35]"
Daddy's Home , 2015 , PG-13 ,5,4,5,"A mild-mannered executive (Will Ferrell) wants to be a great stepfather for his new wife's (Linda Cardellini) children, but competition comes from her colorful, motorcycle-riding ex (Mark Wahlberg). Also with Hannibal Buress, Thomas Haden Church, Paul Scheer, Bobby Cannavale and Billy Slaughter. Directed by Sean Anders. A line of Spanish dialogue is accompanied by English subtitles. [1:36]"
Daddy's Home 2 , 2017 , PG-13 ,4,3,4,"When it becomes clear that the kids are not happy with the way the holidays turn out, the dads (Mark Wahlberg and Will Ferrell) decide to celebrate a ""together Christmas"" where both extended families celebrate the holiday at the same place. Unexpected discoveries ensue. Also with Linda Cardellini, Mel Gibson, John Cena, John Lithgow, Scarlett Estevez, Alessandra Ambrosio, Owen Vaccaro and Didi Costine. Directed by Sean Anders. [1:40]"
Dallas Buyers Club , 2013 , R ,8,5,10,"A man (Matthew McConaughey) diagnosed with HIV/AIDS in 1986 undertakes the task of finding medicines that will treat the disease and prolong his life, beyond the realm of FDA-approved treatments. Also with Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn, Dallas Roberts, Kevin Rankin and Griffin Dunne. Directed by Jean-Marc Vallée. [1:57]"
Damage , 1993 , R ,7,2,5,Film adaptation of Josephine Hart's erotic novel about an upper-class Britisher (Jeremy Irons) who carries on an illicit affair with his son's fiancee (Juliette Binoche).
The Damned United , 2009 , R ,2,5,9,"A fictionalized interpretation of Brian Clough's (Michael Sheen) 44-day tenure as manager of Leeds United, based on David Peace's best selling novel ""The Damn Utd."" Realizing that he had alienated himself from his former colleagues, including his former assistant (Timothy Spall), he begins to reevaluate his actions and decisions. Also with Jim Broadbent, Henry Goodman and Maurice Roeves. Directed by Tom Hooper. [1:38]"
Damsels in Distress , 2011 , PG-13 ,5,4,3,"A quirky set of female co-eds set out to change the male-dominated campus of Seven Oaks University with suicide prevention through tap-dancing and free-soap outreach. With Greta Gerwig, Adam Brody, Analeigh Tipton, Carrie MacLemore, Megalyn Echikunwoke and Aubrey Plaza. Directed by Whit Stillman. [1:39]"
Dance Flick , 2009 , PG-13 ,6,6,4,"A young ballerina (Shoshana Bush) who has given up on dance, meets a young hip hop dancer (Damon Wayans, Jr.) at her new high school and begins to dream of dancing again. He tries to teach her hip-hop while preparing himself for a big street dance competition, and the young woman and her friends help in surprising ways. Also with Essence Atkins, Affion Crockett, David Alan Grier, Amy Sedaris, Chris Elliot, Marlon Wayans and Shawn Wayans. Directed by Damien Wayans. [1:25]"
The Dancer Upstairs , 2003 , R ,7,9,6,"John Malkovich's directorial debut is about an investigator in an unnamed Latin American country who is trying to locate the mysterious Ezequiel, the leader of a revolutionary group that uses terrorist tactics to ferment rebellion among the indigenous people. Disenchanted with the politics of his country, the investigator wonders about his decision to become a policeman. With Javier Bardem, Laura Morante, Juan Diego Botto, Luis Miguel Cintra and Alexandra Lancastre. [2:04]"
Dance With Me , 1998 , PG ,2,0,3,Vanessa L. Williams stars as a dance studio teacher and single mother with whom a hot new talent (Puerto Rican pop singer Chayanne) falls in love.
Dangerous Game , 1994 , R ,8,6,10,"As a director of a movie within a movie starring Madonna and James Russo, Harvey Keitel is thrown into the question of whether art can mirror reality."
A Dangerous Method , 2012 , R ,8,3,5,"A glimpse into the relationship between Dr. Carl Jung (Michael Fassbender) and Dr. Sigmund Freud (Viggo Mortensen), as they develop psychoanalysis, while interacting with patient-cum-doctor Dr. Sabina Spielrein (Keira Knightly). Also with Vincent Cassel and Sarah Gadon. Directed by David Cronenberg. [1:39]"
Dangerous Minds , 1995 , R ,3,3,8,Michelle Pfeiffer teaches at-risk kids that one of the most important things they can do with their lives is get an education.
A Dangerous Woman , 1993 , R ,7,6,7,"Debra Winger stars as a mentally retarded woman, who is suspected of swiping money from her employer's cash register. Barbara Hershey and Gabriel Byrne co-star."
Dan In Real Life , 2007 , PG-13 ,4,3,3,"A widower (Steve Carell) with three daughters has devoted himself to them, while his family thinks it's time for him to move on and tries to get him to date again. But when he meets a woman (Juliette Binoche) in a local bookstore and is instantly smitten, he doesn't realize that she is in a relationship already, with his brother (Dane Cook). Also with John Mahoney and Emily Blunt. Directed by Peter Hedges. [1:38]"
The Danish Girl , 2015 , R ,8,4,1,"Based on a true story: In 1926 a Copenhagen artist (Alicia Vikander) paints a portrait of her husband, a famous landscape painter (Eddie Redmayne), dressed as a woman. The man then becomes enamored with dressing as a female and eventually he has gender reassignment surgery. Still married, the transgender woman encounters an old male friend (Matthias Schoenaerts), which leads to a love triangle. Also with Ben Whishaw, Amber Heard, Sebastian Koch, Emerald Fennell and Adrian Schiller. Directed by Tom Hooper. Several lines of dialogue are in French with no translation. [2:00]"
Danny Deckchair , 2004 , PG-13 ,6,3,4,"Danny Morgan (Rhys Ifans) is a cement truck driver working in Sydney, Australia and dreaming of his next vacation. His live-in girlfriend (Justine Clarke) thinks that he has no ambition and is losing interest in him. When she cancels their scheduled camping vacation, Danny is desperate. He asks his friends to tie large helium-filled balloons to his folding chair and sits on it. No one expects it to really work, but it does and he sails high into the sky and across the Outback where he eventually crash lands and becomes an interesting addition to a small town called Clarence. Also with Miranda Otto, Andrew Crabbe and Rhys Muldoon. Directed by Jeff Balsmeyer. [1:30]"
Dante's Peak , 1997 , PG-13 ,2,6,5,A volcano explodes as geologist Pierce Brosnan tries to save mayor Linda Hamilton and family.
Daredevil , 2003 , PG-13 ,4,6,4,"Based on the Marvel Comics character, we meet Daredevil (Ben Affleck) and learn of the accident that caused his blindness and endowed him with the heightened senses that allow him to fight crime and save those who are in trouble. By day Daredevil is a pro bono defense lawyer, and by night he exacts justice when the legal system fails. His biggest enemy is the criminal Kingpin (Michael Clarke Duncan) and his henchman Bullseye (Colin Farrell) who has a knack for throwing pointed objects. Also with Jennifer Garner, Jon Favreau, Joe Pantoliano, David Keith and Scott Terra. [1:40]"
The Darjeeling Limited , 2007 , R ,6,5,6,"Three brothers (Owen Wilson, Jason Schwartzman and Adrien Brody) who have not spoken to each other in a year, travel across India on a ""spiritual adventure"" that they hope will re-unite them as brothers. Also with Camilla Rutherford, Anjelica Huston and Amara Karan. Directed by Wes Anderson. [1:31]"
Dark Blue , 2003 , R ,5,7,10,"Set in Los Angeles in April, 1992, during the Rodney King trial and the riots that followed the verdict: Kurt Russell stars as a police detective assigned to an elite force that's supposed to clean up the streets by whatever means necessary. His young partner (Scott Speedman) struggles with implications of his mentor's questionable actions, and finds himself placed in the position of choosing between loyalty and doing what's ethical. Also with Ving Rhames, Brendan Gleeson and Michael Michele. [1:56]"
Dark City , 1998 , R ,6,8,2,Rufus Sewell and Kiefer Sutherland star in the story of a man who does battle with an alien race in order to get his real memories and his life back.
Darkest Hour , 2017 , R ,1,3,3,"Set in May of 1940, the film chronicles the immense challenges Winston Churchill (Gary Oldman) faced as he became Britain's war-time Prime Minister: The German armies seemed unstoppable in Europe and the entire British army was surrounded and close to total annihilation in Dunkirk. Also with Kristin Scott Thomas, Lily James, Ben Mendelsohn, Stephen Dillane, Samuel West and Ronald Pickup. Directed by Joe Wright. [2:05]"
The Darkest Hour , 2011 , PG-13 ,3,7,5,"In Moscow, Russia five young people are faced with an unseen and unknown alien that is taking the form of a ball of energy and light and attacking the Earth by draining all things, living and inorganic, of their power supply. With Emile Hirsch, Olivia Thirlby and Max Minghella. Directed by Chris Gorak. [1:29]"
The Dark Half , 1993 , R ,0,9,6,"A Stephen King story, adapted and directed by George A. Romero, about a writer (Timothy Hutton) with a Jekyll and Hyde problem: his pseudonym, under which he writes best-selling trash novels, comes to life when publicly ""killed off."" He then starts killing off everybody associated with his literary death."
The Dark Knight , 2008 , PG-13 ,2,7,3,"Amidst an ongoing struggle to rid Gotham of organized crime, the Batman (Christian Bale) is introduced to a villain whose motivation seem to be to create anarchy and chaos: Known as The Joker (Heath Ledger) because of facial scars that resemble a smile, he wreaks havoc on the city and disrupts District Attorney Harvey Dent's (Aaron Eckhart) efforts to imprison mobsters. Also with Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman and Eric Roberts. Directed by Christopher Nolan. [2:32]"
The Dark Knight Rises , 2012 , PG-13 ,2,7,3,"Batman (Christian Bale) comes out of an eight-year exile to protect Gotham City from the mad terrorist Bane (Tom Hardy), who seems bent on destroying the city. Catwoman (Anne Hathaway), a burglar associate of Bane, turns to Batman's side. Also with Michael Caine, Joseph Gordon-Levitt, Liam Neeson, Gary Oldman, Marion Cotillard and Morgan Freeman. Directed by Christopher Nolan. [2:44]"
Darkness , 2002 , PG-13 ,1,6,5,"A young woman (Anna Paquin) and her family take up residence in a large house in Spain, but shortly after they arrive very unusual things begin to happen. As they try to figure out what's going on, they begin to doubt their own capacity to tell reality from fantasy. Also with Lena Olin, Iain Glen, Stephan Enquist and Giancarlo Giannini. Directed by Jaume Balaguero. [1:42]"
The Darkness , 2016 , PG-13 ,1,6,5,"A father (Kevin Bacon) returns home with his family after a vacation and his son (David Mazouz) brings home Native American stones that hold fear-loving supernatural entities that now inhabit their home. Also with Radha Mitchell, David Mazouz, Lucy Fry, Matt Walsh, Jennifer Morrison and Parker Mack. Directed by Greg McLean. Several lines of dialogue are in a Southwest Native American language and in Spanish with translations or English subtitles. [1:35]"
