movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
The Eagle , 2011 , PG-13 ,2,8,4,"A failed invasion of Northern Britain in 120 AD left 5,000 Roman soldiers missing and assumed dead. Also lost was a gilded eagle, a symbol of Rome's dominance, and the loss for many Romans was interpreted as the beginning of the end of Rome. The son (Channing Tatum) of the commander of the ill-fated incursion becomes determined to find the eagle, bring it back and clear his family's name. Also with Jamie Bell, Mark Strong, Tahar Rahim and Donald Sutherland. Directed by Kevin MacDonald. [1:54]"
Eagle Eye , 2008 , PG-13 ,2,6,5,"A young man (Shia LaBeouf) whose life is in a constant state of flux learns that his twin brother has died. After attending his funeral he receives a phone call that sets in motion a series of events that may end in his death. At the same time, a woman (Michelle Monaghan) also receives a call that instructs her to take action or her young son will be killed. The two become unwitting partners in a race for their lives. Also with Rosario Dawson, Anthony Azizi, Billy Bob Thornton, Anthony Mackie, Michael Chiklis, Cameron Boyce and Lynn Cohen. Directed by D.J. Caruso. [1:58]"
Eagle vs. Shark , 2007 , R ,6,5,6,"Lonely Lily (Loren Horsley) has few social skills and no friends at her job in a Meaty Boy restaurant in New Zealand. But she has a devoted cartoonist brother (Joel Tobeck), and she's infatuated with another lonely soul, who is impressed with her video-game fighting skills. Also with Craig Hall, Jackie van Beek, Jermaine Clement, and Rachel House. Directed by Taika Waititi Cohen. [1:27]"
Early Man , 2018 , PG ,2,3,1,"Stop-motion animation comedy about a resourceful cave man (voiced by Eddie Redmayne) who leads his tribe to defend their land from being taken over by another tribe that wants to set up a precious metal mine. Also with the voices of Tom Hiddleston, Maisie Williams, Timothy Spall, Richard Ayoade, Mark Williams, Miriam Margolyes, Nick Park and Rob Brydon. Directed by Nick Park. [1:29]"
Earth , 2009 , G ,0,4,0,"A documentary look at three animal families across the globe and the difficulties they face in trying to survive: we follow polar bears, elephants and humpback whales. Narrated by James Earl Jones. Directed by Alastair Fothergill. [1:39]"
Earth to Echo , 2014 , PG ,1,3,4,"The lives of three boys (Brian ""Astro"" Bradley, Reese Hartwig and Teo Halm) implode when a highway development begins to demolish their Nevada homes. They pack up for separate lives elsewhere, but just before moving they begin receiving cryptic distress signals on their cell phones and convinced that the highway construction is a government cover-up, the boys ask their friend (Ella Wahlestedt) to join them as they hunt down the origin of the signals. Also with Jason Gray-Stanford and Cassius Willis. Directed by Dave Green. [1:29]"
The East , 2013 , PG-13 ,6,6,4,"When a young woman (Brit Marling) goes undercover for an elite private intelligence firm, she is tasked with infiltrating an anarchist group that attacks major corporations for environmental violations. With Alexander Skarsgård, Ellen Page, Toby Kebbell and Aldis Hodge. Directed by Zal Batmanglij. [1:56]"
Eastern Promises , 2007 , R ,8,9,7,"Crime thriller taking place in modern London: A midwife (Naomi Watts) helps deliver a baby by a 14-year-old Russian girl who dies, and she soon discovers through the girl's diary that she was forced into sexual slavery by a Russian organized crime family. While she tries to find out more about the girl, she meets the Russian-born (Viggo Mortensen) driver for the crime family, who repels and attracts her at the same time. Also with Vincent Cassel, Armin Mueller-Stahl and Sinead Cusack. Directed by David Cronenberg. [1:40]"
East is East , 1999 , R ,7,4,7,"An abusive Pakistani man (Om Puri) marries an English woman and struggles to let go of his homeland's traditions and accept his Anglicized children. Also with Linda Bassett, Jordan Routledge, Archie Panjabi, Emil Marwa, Chris Bisson, Jimi Mistry, Raji James and Ian Aspinall. [1:36]"
Easy A , 2010 , PG-13 ,7,2,4,"After a teenage girl (Emma Stone) is overheard telling her best friend (Alyson Machalka) about a made-up sexual tryst, her high school's rumor mill goes out of control, and she happily embraces her new status as a modern-day wearer of ""The Scarlet Letter."" Also with Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Malcolm McDowell, Stanley Tucci, Fred Armisen and Lisa Kudrow. Directed by Will Gluck. [1:32]"
Easy Virtue , 2009 , PG-13 ,5,4,3,"Noel Coward 1920s-era comedy about an Englishman (Ben Barnes) who brings his vivacious and glamorous new American bride (Jessica Biel) home to his staid family, turning the household upside down. Also with Colin Firth, Kristin Scott Thomas, Katherine Parkinson and Kimberley Nixon. Directed by Stephan Elliot. [1:37]"
Eat Pray Love , 2010 , PG-13 ,5,2,5,"A successful writer (Julia Roberts) loses her way when she discovers that she is not happy in her marriage, but doesn't know what to do about it. She ventures into a relationship with a younger man, and then a trip to Italy, India and Bali before finding her answers. Based on the memoir by Elizabeth Gilbert. Also with James Franco, Richard Jenkins, Viola Davis, Billy Crudup, Javier Bardem, Hadi Subiyanto, Mike O'Malley, Tuva Novotny, Luca Argentero and Giuseppe Gandini. Directed by Ryan Murphy. [2:13]"
Ed , 1996 , PG ,2,2,4,Matt LeBlanc is a minor league pitcher with an odd roommate -- a chimp.
Eddie , 1996 , PG-13 ,2,2,5,Whoopi Goldberg is a basketball fan who gets the chance to coach her favorite team.
Eddie the Eagle , 2016 , PG-13 ,3,4,3,"Inspired by actual events: A boy (Tom Costello Jr.) in a knee brace is determined to become an Olympic athlete, against his father's (Keith Allen) objections. As an adult (Taron Egerton) he plans to represent Great Britain in the ski jump at the 1988 Winter Olympics, but must train without financial support or the approval of the British Olympic Committee. Also with Hugh Jackman, Iris Berben, Christopher Walken and Jo Hartley. Directed by Dexter Fletcher. Some lines of dialogue are in Finnish, German and Norwegian with English subtitles. [1:45]"
The Edge , 1997 , R ,1,6,6,Alec Baldwin and Anthony Hopkins battle it out in the wilderness after a plane crash.
Edge of Darkness , 2010 , R ,1,8,9,"In this adaptation of a British television series, Mel Gibson stars as a Boston homicide detective whose daughter (Bojana Novakovic), a nuclear engineering intern, is murdered in connection with a secret project that may threaten national security. While searching for her assassin, he uncovers startling facts in Washington, D.C. that unravel dozens of clandestine operations. Also with Ray Winstone, Danny Huston, Shawn Roberts and Gbenga Akinnagbe. Directed by Martin Campbell. [1:55]"
The Edge of Seventeen , 2016 , R ,5,3,6,"A teenage girl (Hailee Steinfeld) struggles with being a teenager, having no friends, the death of her father and her brother's apparent perpetual success. Also with Haley Lu Richardson, Blake Jenner, Kyra Sedgwick, Woody Harrelson, Hayden Szeto, Alexander Calvert and Eric Keenleyside. Directed by Kelly Fremon Craig. [1:44]"
