movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Gainsbourg: A Heroic Life , 2011 , NR ,8,3,5,"Based on the graphic novel chronicling the life of French singer Serge Gainsbourg (Eric Elmosnino), it covers his childhood growing up in Nazi-occupied Paris, his torrid love affairs with many women and his wildly successful song-writing years, all with a touch of fantasy. Also with Lucy Gordon, Laetitia Casta, Anna Mouglalis and Sara Forestier. Directed by Joann Sfar. In French, Russian and English with English subtitles. [2:01]"
Galaxy Quest , 1999 , PG ,2,5,3,"Has-been actors from a ""Star Trek""-like cancelled show are abducted by aliens who think they are real space adventurers. The aliens, who have constructed everything in their world according to the show, need the actors to save them from an alien threat. With Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub, Daryl Mitchell, Enrico Colantoni, Sam Rockwell and Missi Pyle. [1:42]"
The Gallows , 2015 , R ,3,7,5,"At Beatrice High School in Nebraska, two teen boys (Reese Mishler and Ryan Shoos) and two teen girls (Pfeifer Brown and Cassidy Gifford) are trapped in their school at night and terrorized by a disembodied spirit. Twenty years ago, a male student died in a freak accident in the annual high school play, and current students want to re-stage the production in his honor, but the spirit is not happy. Also with Price Morgan and Travis Cluff. Directed by Travis Cluff and Chris Lofing. [1:21]"
The Gambler , 2014 , R ,6,4,10,"An associate literature professor and obsessive gambler (Mark Wahlberg) tries to borrow money from his mother (Jessica Lange), and then from a loan shark to pay off another debt, when he begins to realize that his life is going nowhere. Also with Brie Larson, Sonya Walger, John Goodman, Cassandra Starr and Michael Kenneth Williams. Directed by Rupert Wyatt. [1:51]"
The Game , 1997 , R ,2,6,8,Michael Douglas is a billionaire caught up in a potentially lethal game.
Game Night , 2018 , R ,3,6,6,"After gathering for a game night for years one member of the super-competitive group injects some excitement into the night with a mock-kidnapping. The idea is that the first participant to find the fake victim will win; except, it may all be real and real lives are at stake. With Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan, Billy Magnussen, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall and Danny Huston. Directed by John Francis Daley & Jonathan Goldstein. [1:40]"
The Game Plan , 2007 , PG ,2,3,0,"A celebrated quarterback (Dwayne ""The Rock"" Johnson) is enjoying life as a committed bachelor, but finds himself thrown into daddy duty when a little girl shows up on his doorstep claiming to be his daughter. After stumbling through a few mistakes that land him on the front pages of the tabloids, he realizes that the most important thing in his life is his daughter. Also with Madison Pettis, Roselyn Sanchez, Kyra Sedgwick, Morris Chestnut and Brian J. White. Directed by Andy Fickman. [1:50]"
Gamer , 2009 , R ,7,9,8,"In the near future anyone can participate in virtual reality games where real people are being controlled remotely and will do anything their gamers want them to do. In one game, death row prisoners are given an opportunity to go free if they survive several rounds of a war simulation game. One man (Gerard Butler) is close to winning the game when the rules change. Also with Amber Valletta, Michael C. Hall, Chris 'Ludacris' Bridges, Kyra Sedgwick, Logan Lerman and Alison Lohman. Directed by Mark Neveldine & Brian Taylor. [1:45]"
Gang Related , 1997 , R ,4,7,10,Two corrupt police officers try to cover up their crime.
The Gangs of New York , 2002 , R ,7,9,5,"Martin Scorsese film, set in New York City between 1840 and 1863 when Manhattan gangs of native-born and newly arrived New Yorkers battled each other for turf. Leonardo DiCaprio stars as a young man out to avenge his father's death, Cameron Diaz is the pickpocket who helps him, and Daniel Day-Lewis is the gangster responsible. It all takes place amid the crooked cops and corrupt politicians of the Tammany Hall era. Also with Liam Neeson and Henry Thomas. [2:44]"
Gangster Squad , 2013 , R ,5,9,7,"A Brooklyn gangland boss (Sean Penn) runs the crime business in 1949 Los Angeles, profiting from illegal drugs, guns, prostitution and gambling. On the other side, the LAPD recruits top-secret undercover cops (Josh Brolin and Ryan Gosling) to end his rein. Also with Emma Stone, Holt McCallany, Nick Nolte, Anthony Mackie, Michael Pena, Robert Patrick and Giovanni Ribisi. Directed by Ruben Fleischer. [1:53]"
Garden State , 2004 , R ,7,3,9,"A young man (Zach Braff) returns to his New Jersey hometown after nine years to attend his mother's funeral. As the days pass we learn more and more about his past and what has kept him away for so long -- for instance, he recently stopped taking powerful antidepressants. He also meets a young woman (Natalie Portman) and together they explore some unusual places and people. Also with Ian Holm, Peter Sarsgaard, Geoffrey Arend and Jean Smart Peter. Directed by Zach Braff. [1:49]"
Garfield , 2004 , PG ,1,2,1,"Bill Murray provides the voice to the wise-cracking, fat and happy animated cat: When Garfield's beleaguered owner Jon (Breckin Meyer) adopts a dog, Odie, Garfield is jealous and does whatever he can to get rid of him. However, when a TV personality steals Odie in order to make him do tricks on camera, Garfield summons his courage and several animal friends and manages to reunite his now expanded family. Also with Jennifer Love Hewitt, Liz Wilson and Stephen Tobolowsky. Directed by Peter Hewitt. [1:25]"
Garfield: A Tail of Two Kitties , 2006 , PG ,1,2,1,"In the second installment of Jim Davis' comic strip as movie, Garfield follows his owner Jon to England. There, Garfield is mistaken for a noble cat that has inherited a castle. Enjoying the royal treatment, Garfield must also protect the castle from Lord Dargis who wants to turn it into a resort. With Jennifer Love Hewitt, Breckin Meyer, Lucy Davis, Billy Connolly and Bill Murray. Directed by Tim Hill. [1:30]"
Garmento , 2003 , R ,5,4,9,"A young woman with dreams of success in the fashion industry and a certain knack for style, finds herself in the house of Poncho Ramirez, a designer who isn't really sure where his next hit will come from -- his padded cups for men's underwear are apparently a flop. With Katie MacNicol, David Thornton, Saundra Santiago, Jerry Grayson and Juan Hernandez. Directed by Michele Maher. [1:27]"
Gattaca , 1997 , PG-13 ,2,4,5,A sci-fi thriller about a future when your genes determine everything about you and your life.
The General , 1998 , R ,4,6,10,"Brendan Gleeson plays Martin Cahill, a modern-day Robin Hood who, with the help of his daring band of thieves pulled off some of Dublin's biggest robberies during the 1980s. Also with Jon Voight, Adrian Dunbar, Sean McGinley, Maria Doyle Kennedy, Angeline Ball, Eanna McLiam and Tom Murphy."
The General's Daughter , 1999 , R ,8,8,7,"An army detective discovers a web of cover-ups when investigating the rape and murder of a female officer. With John Travolta, Madeleine Stowe, James Cromwell, Timothy Hutton, Clarence Williams III, James Woods, Rick Dial, Pablo Espinosa, John Frankenheimer, Boyd Kestner, Leslie Stefanson and Peter Weireter. [2:00]"
Geography Club , 2013 , PG-13 ,6,3,5,"A group of students at an average high school form an after-school club to support each other's sexual orientations. With Cameron Deane Stewart, Meaghan Martin, Justin Deeley, Ana Gasteyer, Nikki Blonsky and Scott Bakula. Directed by Gary Entin. [1:20]"
George A. Romero's Land of the Dead , 2005 , R ,6,10,8,"Re-animated corpses roam the streets of a deserted town, while humans try to live a quasi-normal life behind electrified fences. Watching both humans and the undead from across a river and high up in a high-rise is a man (Dennis Hopper) who thinks he has everything in control. He doesn't realize that the undead are evolving, and they are somehow communicating and organizing. Also with Simon Baker, Asia Argento, Dennis Hopper, John Leguizamo and Robert Joy. Directed by George A. Romero. [1:40]"
George of the Jungle , 1997 , PG ,2,2,1,Brendan Fraser is a man who has lived in the jungle all his life with apes as family.
Georgia Rule , 2007 , R ,6,5,5,"A rebellious young woman (Lindsay Lohan) who repeatedly gets herself into trouble, is sent to stay with her grandmother (Jane Fonda) in Idaho for the summer. Her mother (Felicity Huffman) hopes that the no-nonsense matriarch will be able to whip her into shape and make her realize that if she doesn't end her self-destructive behavior she will end up in even more trouble. Also with Cary Elwes, Dermot Mulroney and Garrett Hedlund. Directed by Garry Marshall. [1:53]"
Geostorm , 2017 , PG-13 ,1,6,4,"When a complex system of satellites that control extreme weather goes haywire, the scientist (Gerard Butler) who created the system is called into action to track down the cause before the planet is destroyed by extreme storms. Also with Jim Sturgess, Abbie Cornish, Alexandra Maria Lara, Daniel Wu, Eugenio Derbez, Amr Waked, Adepero Oduye, Andy Garcia and Ed Harris. Directed by Dean Devlin. [1:49]"
Geronimo: An American Legend , 1993 , PG-13 ,0,6,1,Wes Studi stars as the quintessential hero in this western with a Native American viewpoint.
Getaway , 2013 , PG-13 ,1,6,4,"An ex-racecar driver (Ethan Hawke) races against the clock to save the life of his kidnapped wife (Rebecca Budig): he takes an expensive custom Ford Shelby Cobra from its owner (Selena Gomez) and drives it in a long high-speed chase away from pursuing police, while obeying the strange orders of the crime boss that holds his wife. Also with Jon Voight, Bruce Payne and Paul Freeman. Directed by Courtney Solomon. [1:30]"
The Getaway , 1994 , R ,6,8,6,"Remake of the eponymous 1972 film, with Alec Baldwin and Kim Basinger as a modern-day Bonnie and Clyde."
Get Hard , 2015 , R ,8,5,10,"A hedge fund manager (Will Farrell) is framed and receives a 10-year sentence for a white-collar crime. Fearing for his safety in prison, he approaches another man (Kevin Hart) for instructions in survival inside the penitentiary. His instructor never spent a day in jail, but that does not stop him from giving lessons for a fee. Also with Tip Harris, Craig T. Nelson and Alison Brie. Directed by Eton Cohen. [1:40]"
Get Him to the Greek , 2010 , R ,9,6,10,"When a record company intern (Jonah Hill) is placed in charge of chaperoning and delivering a famous partier and rock star (Russell Brand) to a concert at the LA Greek Theater, what should have been a quick trip to the airport turns into a 72-hour party that changes their lives. Also with Rose Byrne, Elisabeth Moss and Sean ""Diddy"" Combs. Directed by Nicholas Stoller. [1:49]"
Get Low , 2010 , PG-13 ,2,4,4,"Based on true events from the 1930s, a man (Robert Duvall) has exiled himself for 40 years to the backwoods of a rural state for penance over something from his past. Rumors about having been involved in mass killings make him a pariah, but the community is really shocked when he rides into town and orders a funeral party while he's still alive. The funeral director (Bill Murray) jumps at the chance for new business. Also with Gerald McRaney, Bill Cobbs and Scott Cooper. Directed by Aaron Schneider. [1:42]"
Get on the Bus , 1996 , R ,3,2,7,"A group of men get on a bus in L.A. to travel to the Million Man March in Washington, D.C."
Get on Up , 2014 , PG-13 ,6,5,5,"The story of the turbulent life of the Godfather of Soul, James Brown (Chadwick Boseman), who was abandoned in poverty by his mother (Viola Davis) and later battled financial ruin, drug problems and life in prison. Also with Octavia Spencer, Nelsan Ellis, Lennie James, James Dumont, Dan Aykroyd, Jill Scott, Keith Robinson and Tika Sumter. Directed by Tate Taylor. [2:18]"
Get Out , 2017 , R ,3,8,9,"A young African-American man (Daniel Kaluuya) travels to the home of his white girlfriend's (Allison Williams) family and becomes increasingly wary of the behavior of all the people around him. Also with LilRel Howery, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson, Betty Gabriel, Lakeith Stanfield and Stephen Root. Directed by Jordan Peele. [1:43]"
Get Over It , 2001 , PG-13 ,6,3,5,"A high school senior (Ben Foster) is dumped by his girlfriend (Melissa Sagemiller) and to get her back he tries out for the school play, but soon begins to have eyes for his best friend's little sister (Kirsten Dunst), who is no longer the little girl she used to be. Also with Mila Kunis, Park Bench, Michael Boisvert, Jack Thomas Babcock, Kylie Bax, Ed Begley Jr., Jeanie Calleja, Megan Fahlenbock, Colin Hanks, Swoosie Kurtz, Zoe Saldana, Martin Short, Sisqo, Dov Tiefenbach and Shane West. [1:30]"
