movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Hackers , 1995 , PG-13 ,4,2,5,Young computer hackers discover a diabolical scheme and help save the day.
Hacksaw Ridge , 2016 , R ,4,9,4,"Based on true events: During WWII a conscientious objector (Andrew Garfield) enlists in the US Army but suffers condemnation from other recruits and recriminations from his commanding officers. Finally cleared to serve as a medic in Okinawa, he works alone to save 75 wounded men, earning the Congressional Medal of Honor and three Purple Hearts, without ever using a weapon. Also with Vince Vaughn, Hugo Weaving, Sam Worthington, Luke Bracey, Teresa Palmer and Rachel Griffiths. Directed by Mel Gibson. [2:18]"
"Hail, Caesar! ", 2016 , PG-13 ,3,3,3,"The story of a Hollywood ""fixer"" (Josh Brolin) during the 1950s whose job it is to keep the celebrities who star in his studio's films in check and out of trouble. Also with George Clooney, Alden Ehrenreich, Ralph Fiennes, Scarlett Johansson, Tilda Swinton, Frances McDormand, Channing Tatum, Jonah Hill, Veronica Osorio and Heather Goldenhersh. Directed by Ethan & Joel Coen. [1:46]"
Hairspray , 2007 , PG ,4,3,3,"Stage-to-screen musical taking place in 1960s Baltimore, and based on the eponymous 1988 John Waters film: Tracy (Nicole Blonsky) is a teenage girl who dreams of dancing on a local dance show and proving that people who berate her for her weight are wrong. When there is an opening in the show's cast and there are open auditions she sees her chance, but the station manager is prejudiced against both plus-sized people and African-Americans. With the help of her supportive parents Tracy doesn't give up and fights mainstream bigotry. (John Travolta plays Tracy's mother). Also with Christopher Walken, Michelle Pfeiffer, Queen Latifah, Amanda Bynes and Zac Efron. Directed by Adam Shankman. [1:55]"
Half Past Dead , 2002 , PG-13 ,3,6,4,"A criminal mastermind (Morris Chestnut) has set in motion a plan to infiltrate a high tech prison in order to persuade a death row inmate to reveal the whereabouts of $200 million worth of gold. An undercover FBI agent (Steven Seagal) who wants to avenge the death of his wife must stop him with whatever means he deems necessary. Also with Ja Rule, Kurupt and Nia Peeples. [1:38]"
Halloween , 2007 , R ,10,10,10,"The Michael Myers ""Halloween"" saga continues with this look at the mass murderer's dysfunctional life around age 10, which presumably explains his subsequent behavior. With Daeg Faerch, Danielle Harris, Malcolm McDowell, Danny Trejo and Sheri Moon. Directed by Rob Zombie. [1:49]"
Halloween: H20 , 1998 , R ,3,8,6,"Michael Myers is back and again stalking his original victim, Jamie Lee Curtis."
Halloween: Resurrection , 2002 , R ,5,9,8,"The eighth film in the notorious horror film series about Michael Myers, an escaped psychiatric patient turned serial killer. This time teens win a contest to spend a night in Myers' childhood home; their experience is to be broadcast live on the web while viewers communicate with them by e-mail. What they don't know is that Myers is also in the house. Jamie Lee Curtis, who screamed her way from the 1978 original through two sequels, makes a token appearance. Also with Busta Rhymes, Tyra Banks, Bianca Kajlich and Sean Patrick Thomas. [1:25]"
Halloween 6: The Curse of Michael Myers , 1995 , R ,3,9,5,Michael Myers returns to kill and rampage while trying to kidnap the son of his niece.
Halloween II , 2009 , R ,8,10,10,"Sequel to Rob Zombie's 2007 remake of the eponymous 1970's horror film: A young woman (Scout Taylor-Compton) is shocked when she realizes that she's Michael Myers' younger sister. When Myers stages a blood-soaked family reunion, she has to decide between her family and her life. Also with Tyler Mane, Brad Dourif, Chris Hardwick, Mark Christopher-Lawrence, Jeffrey Daniel Phillips, Malcolm McDowell, Daeg Faerch, Danielle Harris, Ezra Buzzington, Chase Wright Vanek and ""Weird Al"" Yankovic. Directed by Rob Zombie. [1:41]"
Hall Pass , 2011 , R ,10,5,6,"When two married men (Jason Sudeikis and Owen Wilson) are granted a ""hall pass"" from their marriage for a week, they get together to have some extramarital fun. However, things soon change when their wives also pursue their own extramarital activities. Also with Jenna Fischer, Christina Applegate, Nicky Whelan and Richard Jenkins. Directed by Bobby Farrelly and Peter Farrelly. [1:48]"
Hamlet , 2000 , R ,4,7,1,"A modern-day adaptation set in Manhattan with Hamlet (Ethan Hawke) trying to avenge the death of his father, the CEO of the Denmark Corporation. Also with Kyle MacLachlan, Sam Shepard, Diane Venora, Bill Murray, Liev Schreiber, Julia Stiles, Steve Zahn, Jeffrey Wright, Casey Affleck, Karl Geary, Paula Malcomson and Dechen Thurman. [1:51]"
Hamlet 2 , 2008 , R ,6,3,7,"A bad actor (Steve Coogan) tries his hand at being a high school drama coach, but when budget cuts and several harsh reviews threaten his vocation, he sets out to stage a grand, politically incorrect musical in order to raise enough money to save arts teaching. Also with Catherine Keener, David Arquette, Joseph Soria, Elizabeth Shue and Amy Poeller. Directed by Andrew Fleming. [1:34]"
Hands of Stone , 2016 , R ,7,6,10,"Based on real events about boxer Roberto Duran and his trainer Ray Arcel: A boxing trainer (Robert De Niro) leaves retirement to coach a rising Panamanian fighter (Edgar Ramirez) during the early 1970s. The boxer is wild, undisciplined, and angry, but his new trainer teaches him the role of strategy and tactics in the ring. Also with Usher Raymond, Ruben Blades, Ellen Barkin, Ana de Armas, Oscar Jaenada and John Turturro. Directed by Jonathan Jakubowicz. Dozens of lines of dialogue are in Spanish and most are accompanied by English subtitles; a few lines are not translated. [1:45]"
Hanging Up , 2000 , PG-13 ,2,1,5,"Written by the Ephron sisters and directed by Diane Keaton, this is a story of three sisters (Keaton, Meg Ryan and Lisa Kudrow) facing their father's (Walter Matthau) imminent death, their conflicting feelings about it and, as the title suggests, the telephone. Also with Myndy Crist, Ethan Dampf, Adam Arkin, Ashley Edner, Jesse James, Cloris Leachman, Tracee Ellis Ross and Lauren Schaffel. [1:33]"
