movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
I Am , 2011 , NR ,2,6,2,"After a near-death experience and prolonged post-concussion traumatic syndrome, Tom Shadyac, the director of comedies ""Bruce Almighty,"" ""The Nutty Professor"" and ""Ace Ventura: Pet Detective,"" engages with experts in philosophy, academics, literature, mysticism and science to address how the world can be improved. Featuring Marc Ian Barasch, Coleman Barks, Noam Chomsky, John Francis, Lynne McTaggart, Desmond Tutu, Howard Zinn and footage featuring Jim Carrey and Steve Carell. Directed by Tom Shadyac. [1:16]"
I Am David , 2004 , PG ,2,5,1,"Set in the early 1950s, it relates how a 12-year-old boy (Ben Tibber) travels alone across Europe after escaping a Communist labor camp in Bulgaria, where he had spent most of his young life. His only possessions are a loaf of bread and a compass. James Caviezel co-stars as a fellow camp inmate who helps and advises him. Also with Joan Plowright, Maria Bonnevie and Silvia De Santis. Directed by Paul Feig. [1:35]"
I Am Legend , 2007 , PG-13 ,2,7,3,"Sci-fi film based on a 1954 Richard Matheson novel, that was filmed several times before: Will Smith stars as a virologist that has somehow escaped a virus epidemic -- created by a virus which was supposed to cure cancer. He seems to be the last man in a devastated New York City, which has been taken over by a humanity that has mutated into carnivorous night dwellers. Also with Alice Braga, Dash Mihok, Salli Richardson-Whitfield and Charlie Tahan. Directed by Francis Lawrence. [1:40]"
I Am Number Four , 2011 , PG-13 ,3,6,4,"Based on the young adult science fiction novel by Pittacus Lore: a teenager (Alex Pettyfer) tries to fit in at a new school in a new town after he and his caretaker (Timothy Olyphant) move in order to elude a deadly alien enemy. There he can fulfill his destiny as an extraordinary creature saved from a dying planet. Also with Teresa Palmer, Dianna Agron and Callan McAuliffe. Directed by D.J. Caruso. [1:44]"
I Am Sam , 2001 , PG-13 ,2,3,5,"Sean Penn stars as a mentally retarded single father who's raised his daughter for her first six years. Now that the 7-year-old (Dakota Fanning) has actually surpassed her father intellectually, questions arise as to his ability to care for her and he has to fight to retain custody. Also with Michelle Pfeiffer, Dianne Wiest, Loretta Devine and Laura Dern. [2:09]"
I Can Only Imagine , 2018 , PG ,1,4,1,"The Christian rock band MercyMe's ""I Can Only Imagine"" is considered the most-played contemporary Christian song, earning multi-platinum status. The movie recounts the travails of Bart Millard (Brody Rose and J. Michael Finley), writer and singer of the song, who composed it for his father (Dennis Quaid), an abuser that became a Christian to overcome his violent tendencies. Also with Cloris Leachman, Madeline Carroll, Trace Adkins and Priscilla Shirer. Directed by Andrew Erwin. [1:50]"
Ice Age , 2002 , PG ,1,3,1,"Animated feature taking place during the last ice age, twenty thousand years ago: An unlikely trio made up of a wooly mammoth (voiced by Ray Romano), a sabertooth tiger (voiced by Denis Leary), and a sloth (voiced by John Leguizamo) take on the task of returning a human infant to his family. An acorn-crazy squirrel crosses their path from time to time, and along the way they discover what being a family is really all about. [1:25]"
Ice Age: Collision Course , 2016 , PG ,2,3,2,"The friends and family from the previous installments continue their adventures and struggle to survive when a giant asteroid barrels toward Earth and threatens to destroy everything in its path. With the voices of Ray Romano, Denis Leary, John Leguizamo, Queen Latifah, Nick Offerman, Josh Peck, Simon Pegg, Seann William Scott, Jennifer Lopez and Neil deGrasse Tyson. Directed by Mike Thurmeier & Galen T. Chu. [1:34]"
Ice Age: Continental Drift , 2012 , PG ,1,3,2,"The friends from the previous ""Ice Age"" installments (voiced by Ray Romano, John Leguizamo and Denis Leary) find themselves in great danger when their world crumbles as the Earth shifts to form new land masses. They are separated, reunited and make new friends while fending off cutthroat pirate animals and trying to get home. Also with the voices of Alan Tudyk, Wanda Sykes, Jeremy Renner, KeKe Palmer, Jennifer Lopez, Aziz Ansari, Seann William Scott, Queen Latifah, Josh Peck and Joy Behar. Directed by Steve Martino, Michael Thurmeier & Carlos Saldanha. [1:27]"
Ice Age: Dawn of the Dinosaurs , 2009 , PG ,3,4,1,"A mammoth couple (voiced by Ray Romano and Queen Latifah) await the birth of their child with the support of their friends. However, a sloth named Sid finds and adopts three dinosaur eggs, and the group must embark on an adventure to rescue their friend when the dino mother arrives for her babies. Also with John Leguizamo, Denis Leary and Simon Pegg. Directed by Carlos Saldanha & Mike Thurmeier. [1:34]"
