movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Jack , 1996 , PG-13 ,2,2,4,Robin Williams is a ten-year-old with the body of a forty-year-old due to a genetic defect.
The Jackal , 1997 , R ,1,9,7,"Bruce Willis is a brutal, cold-blooded gun-for-hire who's targeted a high-ranking government official for assassination."
Jack and Diane , 2012 , R ,8,7,7,"When two teen girls (Juno Temple and Riley Keough) fall in love over the summer, they are both overwhelmed with the new emotions. Also with Kylie Minogue and Cara Seymour. Directed by Bradley Rust Gray. [1:50]"
Jack and Jill , 2011 , PG ,4,4,3,"Jack and Jill are twins and both are played by Adam Sandler: Jack finds Jill needy and overbearing, while Jill looks to Jack to help her fledging love life. But when Jack needs Jill to woo a good frontman (Al Pacino) for his commercial, he comes to realize how much his twin means to him. Also with Katie Holmes, David Spade, Nick Swardson, Tim Meadows and Norm MacDonald. Directed by Dennis Dugan. [1:31]"
Jackass: Number Two , 2006 , R ,8,8,10,"Second installment of MTV's eponymous reality show, and the concept remains the same: a series of reckless and often very dangerous, disgusting and disturbing stunts, pranks and gags; some involve dangerous animals, like snakes and sharks, and others are about consuming biological waste. With Johnny Knoxville, Bam Margera, Ryan Dunn, Stephen Glover and Jason Acuna. Directed by Jeff Tremaine. [1:35]"
jackass: the movie , 2002 , R ,7,7,9,"Based on MTV's eponymous reality show, the concept is to involve several very reckless men in very dangerous, disgusting and often disturbing stunts pranks and gags, just to see what happens. Set pieces include falling in a pool full of alligators, getting punched in a department store, and literally trying out a display toilet in a store selling bathroom fixtures. With Johnny Knoxville, Bam Margera, Steve-O, Chris Pontius, Dave England, Ryan Dunn, Jason ""Wee Man"" Acuña, Preston Lacy and Ehren McGhehey. [1:37]"
Jackass 3D , 2010 , R ,8,8,10,"More stunts and pranks involving injury and bodily functions from the ""Jackass"" series, only this time in 3D. With Johnny Knoxville, Seann William Scott, Bam Margera, Steve-O, Spike Jonze, Chris Pontius, Jason Acuña, Ryan Dunn, Preston Lacy, Jeff Tremaine, Dave England, Ehren McGhehey, Tony Hawk, Mark Povinelli and John Taylor. Directed by Jeff Tremaine. [1:34]"
The Jacket , 2005 , R ,7,7,6,"A Gulf War veteran (Adrien Brody) returns to the U.S., and while hitchhiking he is picked up by a driver who later shoots a highway patrol officer. When the vet is found unconscious with the gun, he is determined to be the shooter and since he has no memory of the incident he is sent to a hospital for the criminally insane. While there, one of his doctors experiments with a controversial treatment that includes being strapped into a straitjacket and locked into a morgue locker. During the treatment, the vet foresees his own death. Also with Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh and Kelly Lynch. Directed by John Maybury. [1:42]"
Jack Frost , 1998 , PG ,2,4,1,"In this bittersweet comedy, Michael Keaton gets a second chance to see his family when he comes back to life as a snowman. Also with Kelly Preston."
Jackie , 2016 , R ,2,5,5,"After the assassination of her husband, President John F. Kennedy, Jackie Kennedy (Natalie Portman) must face her grief while maintaining the decorum of being First Lady and the compassion of being a mother to her two young children. Also with Peter Sarsgaard, Greta Gerwig, Billy Crudup, John Hurt, Richard E. Grant, Caspar Phillipson, Beth Grant, John Carroll Lynch and Max Casella. Directed by Pablo Larraín. A few lines of dialogue are spoken in Spanish with English subtitles. [1:39]"
Jackie Chan's First Strike , 1997 , PG-13 ,2,6,2,The super stuntman is back with another police-themed actioner.
Jack Reacher , 2012 , PG-13 ,4,7,5,"A man is arrested for the murder of five innocent people in what appears to be a random act of violence. The accused asks for help from a former military cop (Tom Cruise) who arrives intent on confirming the findings of the police. But as he digs, he realizes there's more to the case than he initially thought. Also Rosamund Pike, Richard Jenkins, David Oyelowo, Werner Herzog, Jai Courtney, Vladimir Sizov, Joseph Sikora, Michael Raymond-James, Alexia Fast, Josh Helman and Robert Duvall. Directed by Christopher McQuarrie. [2:10]"
Jack Reacher: Never Go Back , 2016 , PG-13 ,3,6,4,"A former military police investigator (Tom Cruise) visits his old army base to see the new commander (Cobie Smulders). Upon arrival, he finds her in the brig for treason and then he's charged with two murders and a paternity suit. He determines to discover who and what is behind the conspiracy. Also with Patrick Heusinger, Aldis Hodge, Danika Yarosh and Holt McCallany. Directed by Edward Zwick. [1:58]"
Jack Ryan: Shadow Recruit , 2014 , PG-13 ,2,6,5,"A young marine (Chris Pine) recovering from injuries suffered in Afghanistan is recruited by the CIA to monitor monetary activity hoping to prevent another terrorist attack on the US homeland. Also with Keira Knightley, Kevin Costner, Kenneth Branagh, Lenn Kudrjawizki and Alec Utgoff. Directed by Kenneth Branagh. [1:45]"
Jack the Bear , 1993 , PG-13 ,1,4,2,"Drama about a single father (Danny DeVito) trying to raise his two young sons (Robert J. Steinmiller, Jr. and Miko Hughes). A dispute with a racist neighbor threatens the family's safety and stability."
Jack the Giant Slayer , 2013 , PG-13 ,2,6,5,"In this fantasy, humans and giants have been warring against each other for hundreds of years and a young farmhand (Nicholas Hoult) unwittingly enters the fray by opening a gateway between their respective realms. Also with Eleanor Tomlinson, Stanley Tucci, Ian McShane, Bill Nighy and Ewan McGregor. Directed by Bryan Singer. [1:54]"
Jade , 1995 , R ,8,8,8,Prosecutor David Caruso must investigate former lover Linda Fiorentino for murder.
Jakob the Liar , 1999 , PG-13 ,2,5,2,"Robin Williams is a widowed Jew in 1945 Poland who befriends a young runaway girl and fabricates stories about the war to offer hope for his fellow prisoners. Also with Alan Arkin, Bob Balaban, Hannah Taylor-Gordon, Michael Jeter, Armin Mueller-Stahl, Liev Schreiber, Nina Siemaszko and Mathieu Kassovitz. [1:54]"
James and the Giant Peach , 1996 , PG ,0,5,2," A stop-motion animation version of the classic Roald Dahl story in which a young boy named James and several magically enlarged bugs escape life with James' two evil aunts and fly on a giant peach to New York City. With Paul Terry, Pete Postlethwaite, Joanna Lumley, Miriam Margolyes, Mike Starr, Steven Culp and Susan Turner-Cray; also with the voices of Simon Callow, Richard Dreyfuss, Jane Leeves, Susan Sarandon and David Thewlis. [1:19]"
The Jane Austen Book Club , 2007 , PG-13 ,5,3,5,"Six California women create a book club as a way of getting over the trials and tribulations of romantic disappointment, and Jane Austen is their author of choice. While analyzing the characters' motivations and the sloppiness of life and love they realize the answers to some of their own frustrations. With Maria Bello, Jimmy Smits, Emily Blunt, Kathy Baker and Amy Brenneman. Directed by Robin Swicord. [1:46]"
