movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Kalifornia , 1993 , R ,6,10,5,"Brad Pitt stars as a killer who, with girlfriend Juliette Lewis, joins a graduate student and his girlfriend for a trip to California."
Kangaroo Jack , 2002 , PG ,3,4,3,"The stepson (Jerry O'Connell) of a Mafia boss (Christopher Walken) is considered a serious disappointment since he has chosen to become a hairdresser -- plus, he has inadvertently led the police to his stepfather. To redeem himself, he does his stepfather's bidding and travels to Australia with his best friend (Anthony Anderson) to deliver a package. But a kangaroo ends up taking off with the package, and they pursue. Also with Estella Warren and Dyan Cannon. [1:34]"
The Karate Kid , 2010 , PG ,2,4,1,"A boy (Jaden Smith) and his mother (Taraji P. Henson) are relocated to China and their new life has a rocky start when the boy is plagued by local bullies who are into kung fu. Determined to overcome fear, and with the help of an apartment maintenance man (Jackie Chan), he trains for a kung fu tournament where he will face the very boys who bullied him. Also with Han Wen Wen and Yu Rong-Guang. Directed by Harald Zwart. [2:06]"
Kate & Leopold , 2001 , PG-13 ,3,3,5,"Romantic comedy and time-travel fantasy about a charming 19th century nobleman (Hugh Jackman) who finds himself transported to present-day New York. Confusion over culture, etiquette and mores does not prevent him from falling in love with a driven, modern-day executive (Meg Ryan), who happily reciprocates. Also with Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Philip Bosco, Bart DeFinna, Bill Corsair and Charlotte Ayanna. [2:11]"
Katy Perry: Part of Me , 2012 , PG ,4,2,3,"A documentary of the life of 27-year-old singer Katy Perry and her California Dreams world tour in 2011. We watch as Katy leaves her conservative Christian family and Gospel music, to become a leading American pop star after some mis-starts. Also with Angela Hudson, David Hudson, Shannon Woodward, Rachael Markarian, Mia Moretti and Glen Ballard. Directed by Dan Cutforth & Jane Lipsitz. [1:57]"
Kazaam , 1996 , PG ,1,3,2,A boy finds a genie in a bottle and he's Shaquille O'Neal.
Keanu , 2016 , R ,6,7,10,"A sad jilted man (Jordan Peele) perks up when he finds a kitten on his doorstep. After he comes to adore it, a local drug gang steals it. Heartbroken, he enlists the help of his straight-laced cousin (Keegan-Michael Key) to infiltrate the gang and steal back his pet. Also with Will Forte, Method Man, Nia Long and Luis Guzman. Directed by Peter Atencio. [1:38]"
Keeping the Faith , 2000 , PG-13 ,5,2,4,"Best friends Edward Norton and Ben Stiller (a priest and rabbi, respectively) question their lifestyles when a childhood pal (Jenna Elfman) re-enters their lives. Also with Kryss Anderson, Anne Bancroft, Dagmara Dominczyk, Lisa Edelstein, Milos Forman, Ken Leung, Ron Rifkin, Rena Sofer, Holland Taylor, Eli Wallach and Brian Anthony Wilson. [2:09]"
Keeping Up with the Joneses , 2016 , PG-13 ,5,5,5,"New neighbors (Jon Hamm and Gal Gadot) in an Atlanta cul-de-sac bring intrigue when they are suspected of not being what they claim, and an otherwise ordinary couple (Zach Galifianakis and Isla Fisher) becomes embroiled in international espionage. Also with Patton Oswalt, Ming Zhao, Matt Walsh, Maribeth Monroe, Michael Liu and Kevin Dunn. Directed by Greg Mottola. A few lines of dialogue are in foreign languages with no subtitles but a character translates (presumably correctly). [1:45]"
Kevin Hart: What Now? , 2016 , R ,4,5,10,"A movie version of Kevin Hart's performance at the Lincoln Financial Field in Philadelphia, PA, with the addition of cinematic extras. Also with Hale Berry, Don Cheadle and David Meunier. Directed by Leslie Small & Tim Story. A couple of lines of dialogue are spoken in Russian with English subtitles. [1:36]"
Kick-Ass , 2010 , R ,7,9,10,"A high school student and comic book fan (Aaron Johnson) is tired of his unremarkable life and decides to become a real-life superhero, despite the fact that he possesses no extraordinary powers, abilities or training. Inadvertently, he ends up as the target of a crime boss (Mark Strong), but to his assistance come a middle-aged man (Nicolas Cage) and 11-year-old daughter (Chloë Grace Moretz), a duo of costumed vigilantes who actually know how to shoot guns, wield knives and throw punches. Also with Christopher Mintz-Plasse and Garrett M. Brown. Directed by Matthew Vaughn. [1:47]"
Kick-Ass 2 , 2013 , R ,7,7,9,"In this sequel several NYC citizens don superhero costumes and begin crime fighting activities: Colonel Stars and Stripes (Jim Carrey) and his team ask Kick-Ass (Aaron Johnson) to join them while Hit-Girl (Chloe Grace Moret) returns to active duty when Red Mist (Christopher Mintz-Plasse) resurfaces as a psychotic super villain with plans to form a murderous army. Also with Morris Chestnut, Donald Faison, Lindy Booth, Claudia Lee, Clark Duke and John Leguizamo. Directed by Jeff Wadlow. [1:43]"
Kicking & Screaming , 2005 , PG ,2,3,3,"Will Ferrell stars as a man who's never managed to satisfy his exceedingly competitive and critical father (Robert Duvall) since he's never been good enough in sports. But when he decides to become coach of his 10-year-old son's soccer team, he ends up having to compete against his own father -- who coaches the top soccer team of the league. Also with Kate Walsh, Mike Ditka and Musetta Vander. Directed by Jesse Dylan. [1:36]"
Kickin' It Old Skool , 2007 , PG-13 ,5,3,5,"In 1985 a 12-year-old boy falls off a stage and lands on his head during a breakdancing competition, and he ends up in a coma. It's 20 years afterwards, and when he comes out of the coma he's still at the mental age of a young teen, and insists on continuing his dance competition efforts in order to help his parents pay for the many years of life support. With Jamie Kennedy, Maria Menounos, Christopher McDonald, Miguel A. Nunez Jr. and Bobby Lee. Directed by Harvey Glazer. [1:47]"
The Kid , 2000 , PG ,2,2,1,"Bruce Willis is a self-absorbed image consultant who reconnects with his childhood dreams when he's visited by his eight-year-old self (Spencer Breslin). Also with Emily Mortimer, Lily Tomlin, Chi McBride, Nick Chinlund, Richard Jenkins, Jeri Ryan, Jean Smart and Steve Tom. [1:42]"
A Kid in King Arthur's Court , 1995 , PG ,1,3,1,A teenager is sent back in time to save King Arthur's court from chaos.
Kidnap , 2017 , R ,1,6,5,"A woman's (Halle Berry) young son is kidnapped from a park, and she pursues the kidnappers and will allow nothing to get in her way. Also with Sage Correa, Chris McGinn, Lew Temple, Jason George, Christopher Berry and Arron Shiver. Directed by Luis Prieto. [1:34]"
The Kids Are All Right , 2010 , R ,10,3,8,"After two teenagers (Mia Wasikowska and Josh Hutcherson) conceived by artificial insemination want to bring their birth father (Mark Ruffalo) into their lives, their mothers (Annette Bening and Julianne Moore) must adapt to the presence of the man that made their family possible. Also with Yaya DaCosta and Kunal Sharma. Directed by Lisa Cholodenko. [1:44]"
The Kids in the Hall: Brain Candy , 1996 , R ,5,0,7,The wacky comedy troupe have their first feature film.
