movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Labor Day , 2014 , PG-13 ,5,5,2,"Set in 1987: An escaped convict (Josh Brolin) makes his way into the lives of a woman (Kate Winslet) and her young son (Gattlin Griffith) over a Labor Day weekend; their lives are changed forever as the convict becomes a surrogate dad to the boy and begins a relationship with the mom. Also with Tobey Maguire, Tom Lipinski, Maika Monroe, Clark Gregg and James Van Der Beek. Directed by Jason Reitman. [1:51]"
Labyrinth of Lies , 2015 , R ,6,5,2,"Set in Frankfurt Germany in 1958, it relates how a young attorney (Alexander Fehling) peeled away the shroud of secrecy hiding Nazi World War II crimes to reveal the truth about his compatriots. Also with André Szymanski, Friederike Becht, Johannes Krisch, Johann von Bülow, Robert Hunger-Bühler, Hansi Jochmann, Lukas Miko, Gert Voss and Tim Williams. Directed by Giulio Ricciarelli. In German with English subtitles. [2:04]"
L.A. Confidential , 1997 , R ,5,7,6,A tale of cops and murder in 1950's Los Angeles.
Ladder 49 , 2004 , PG-13 ,3,6,5,"Joaquin Phoenix stars as a Baltimore firefighter who becomes injured and trapped in a fire. While passing in and out of consciousness, and hoping to be rescued, he has flashbacks to his meeting, courting and eventually marrying his wife, and to his career as a firefighter. John Travolta co-stars as the fire company chief. Also with Jacinda Barrett, Billy Burke and Jay Hernandez. Directed by Jay Russell. [1:55]"
The Ladies Man , 2000 , R ,7,3,4,"Saturday Night Live character Leon Phelps, a.k.a. The Ladies Man (Tim Meadows), searches for the mysterious ""Sweet Thing,"" a woman who sent him a letter asking for another chance to experience the passion they once shared. Also with Karyn Parsons, Billy Dee Williams, Kevin McDonald, Tiffani-Amber Thiessen, Lee Evans, Will Ferrell, Jimmy Fallon, Tamala Jones, David Koechner, Mark McKinney, Julianne Moore, Chris Parnell and John Witherspoon. [1:24]"
Lady Bird , 2017 , R ,6,3,6,"The film follows a strong-willed high school senior (Saoirse Ronan) during the 2002-03 school year, as she struggles with her overbearing mother (Laurie Metcalf) and other people in her life. Also with Jordan Rodrigues, Tracy Letts, Beanie Feldstein and Stephen Henderson. Directed by Greta Gerwig. [1:33]"
Lady in the Water , 2006 , PG-13 ,2,7,1,"An unassuming and quiet man (Paul Giamatti), who works as an apartment building superintendent, rescues an unusual young woman (Bryce Dallas Howard) and discovers that she's actually a character from a bedtime story. Moreover, it seems the apartment building residents are also characters in the same story and they have to help the young woman return to her own world for everyone's sake. Also with Freddy Rodriguez, Jeffrey Wright and Bob Balaban. Directed by M. Night Shyamalan. [1:50]"
The Ladykillers , 2004 , R ,4,5,10,"A Coen brothers' remake of the Ealing Studios' 1955 black comedy with Alec Guinness: A group of men (led by Tom Hanks) plot to rob a casino, but must first ingratiate themselves with an elderly woman whose basement wall is the portal to the treasure. Their plans are turned upside down when the woman discovers what they have done and tries to force them to return the money and confess their sins. Now murder is on the men's minds, but although they are all criminals they're not comfortable with the idea of killing a defenseless woman. Also with Marlon Wayans, J.K. Simmons, Irma P. Hall, Tzi Ma and Ryan Hurst. Directed, produced, written, etc. by Joel & Ethan Coen. [1:44]"
Laggies , 2014 , R ,5,3,6,"An underachieving woman (Keira Knightley) panics at age 28 when her live-in boyfriend of 10 years (Mark Webber) proposes marriage. To gain some thinking time, she escapes to the house of her new 16-year-old friend (Chloë Grace Moretz) and there she meets her friend's very interesting and available father (Sam Rockwell) while her friend finds her long lost mother. Also with Gretchen Mol and Kaitlyn Dever. Directed by Lynn Shelton. [1:39]"
The Lake House , 2006 , PG ,3,4,2,"Sandra Bullock stars as a Chicago doctor, who after moving out of a unique lakeside house, begins to correspond with the next tenant (Keanu Reeves) of the lake house, and begins to fall in love with him. But they soon discover that he is actually the earlier tenant of the house, having lived there two years before she did. Also with Dylan Walsh, Shohreh Aghdashloo, Christopher Plummer. Directed by Alejandro Agresti. [1:38]"
