movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Mac , 1993 , R ,6,4,8,"John Turturro's directorial debut is inspired by his own family history. The story follows Mac Vitelli (played by Turturro), an Italian-American carpenter, as he builds really solid-looking houses with his two brothers."
MacGruber , 2010 , R ,8,9,8,"Based on the SNL skit about former Special Agent MacGruber (Will Forte) who, at the request of the US Army, reunites with a member of his old Special Ops team (Kristen Wiig) and a new companion (Ryan Phillippe) to combat his archenemy, Dieter von Cunth (Val Kilmer), who is planning on firing a nuclear warhead at the White House and sending the USA into a nuclear winter. Also with Maya Rudolph. Directed by Jorma Taccone. [1:38]"
Machete , 2010 , R ,8,10,8,"Inspired by the trailer featured in Robert Rodriguez's ""Grindhouse"": With the help of an Immigration and Customs Enforcement agent (Jessica Alba) and a taco truck driver (Michelle Rodriguez), a former Federale (Danny Trejo) begins a Mexican-American uprising after being framed in the assassination attempt of an unscrupulous anti-immigration proponent (Robert De Niro). Also with Steven Seagal, Jeff Fahey, Cheech Marin, Don Johnson and Lindsay Lohan. Directed by Robert Rodriguez & Ethan Maniquis. [1:45]"
Machete Kills , 2013 , R ,5,9,10,"In this sequel Machete (Danny Trejo) is a former Mexican agent that returns to work for the US when he is recruited by President Rathcock (Carlos Estevez) as America's last best hope against bad guys. Machete must eliminate an insane revolutionary (Damien Bichir) and a billionaire arms dealer (Mel Gibson) that are bent on war and destruction. Also with Michelle Rodriguez, Sofia Vergara, Antonio Banderas, Lady Gaga, Amber Heard. Several scenes feature Spanish language with English subtitles. Directed by Robert Rodriguez. [1:47]"
Machine Gun Preacher , 2011 , R ,6,8,8,"Based on a true story about a man (Gerard Butler) who reformed himself after coming out of prison and finding that his wife (Michelle Monaghan) has become religious. When he hears a visiting minister from Africa speak about their need for help, he decides to visit Sudan to see what's going on and after witnessing the horrors of the Sudanese civil war he builds an orphanage and tracks down and kills the men responsible for making their lives so miserable. Also with Michael Shannon, Souleymane Sy Savane, Madeline Carroll and Kathy Baker. Directed by Marc Forster. [2:07]"
Madagascar , 2005 , PG ,1,4,2,"Animated feature about four residents and star attractions of the Central Park Zoo in New York City -- a lion, a zebra, a hippopotamus and a giraffe -- who are also best friends. When the zebra is inspired by a penguin to visit the wild, and all of them end up inadvertently in the Madagascar jungle, and they have no idea how to take care of themselves. With the voices of Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer and Andy Richter. Directed by Eric Darnell & Tom McGrath. [1:20]"
Madagascar: Escape 2 Africa , 2008 , PG ,2,3,2,"Sequel to the 2005 animated feature about a lion, a zebra, a hippopotamus and a giraffe who escape the Central Park Zoo in New York City and end up on the island of Madagascar. This time, with the help of a group of clever penguins, they manage to build a plane and fly to Africa. With the voices of Ben Stiller, Chris Rock, Jada Pinkett-Smith, David Schwimmer, Sacha Baron Cohen, Cedric The Entertainer, Alec Baldwin, Bernie Mac, Sherri Shepherd, Tom McGrath, Elisa Pensler-Gabrielli and Andy Richter. Directed by Eric Darnell & Tom McGrath. [1:29]"
Madagascar 3: Europe's Most Wanted , 2012 , PG ,2,3,1,"In this animated third sequel, the Penguins, the Chimps and King Julien (voiced by Sacha Baron Cohen) win a fortune in Monte Carlo while the Central Park Zoo animals (voiced by Ben Stiller, David Schwimmer, Chris Rock and Jada Pinkett Smith) are stuck in Africa. Deciding to swim to Monte Carlo to find the Penguins, they run afoul of a Police Captain (voiced by Frances McDormand) who wants to mount their heads on her wall. Also with the voices of Tom McGrath, Chris Miller, Christopher Knights, John DiMaggio, Conrad Vernon, Andy Richter, Bryan Cranston, Jessica Chastain, Martin Short, Cedric the Entertainer and Paz Vega. Directed by Eric Darnell, Tom McGrath and Conrad Vernon. [1:25]"
Mad City , 1997 , PG-13 ,1,5,5,A desperate man inadvertently triggers a high-pressure hostage crisis that becomes a media sensation.
Mad Dog and Glory , 1993 , R ,6,6,6,"Robert De Niro is a police photographer who inadvertently saves Bill Murray's life. Murray is a gangster and, out of gratitude sends De Niro a ""thank-you"" gift: Uma Thurman. Things get complicated when De Niro and Thurman fall in love, while Murray wants his ""gift"" back."
