movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Nacho Libre , 2006 , PG ,3,4,3,"Jack Black stars as a friar who's the cook for a monastery. However, his food usually tastes terrible, and he dreams of becoming a successful professional wrestler, so he can make money with which he can buy better ingredients and produce better food for the orphans who live in the monastery. Also with Jack Black, Hector Jimenez, Troy Gentile, Moises Arias, Lauro Chartrand. Directed by Jared Hess. [1:40]"
Naked Gun 33 1/3: The Final Insult , 1994 , PG-13 ,5,4,5,Third sequel of the gag-a-thon series with Leslie Nielsen and Priscilla Presley.
The Namesake , 2007 , PG-13 ,5,3,3,"Kal Penn stars as a young Indian man living in the United States with his parents and his sister. Although the parents hold onto their culture and heritage, the children rebel against it and begin to date people who are not of Indian descent. Also with Zuleikha Robinson, Irrfan Khan, Tabu and Jacinda Barrett. Directed by Mira Nair. [2:02]"
Nancy Drew , 2007 , PG ,2,3,1,"Nancy Drew (Emma Roberts) is a resourceful teenager, who's obsessed with solving mysteries. While well-liked and respected as an amateur detective in her small, idyllic hometown, she and her father move to Los Angeles, and she vows to stop sleuthing so that he won't have to worry about her. But she is hard pressed to live up to her promise, especially since they have moved into the house of a late actress who died under very mysterious circumstances. Also with Tate Donovan, Barry Bostwick, Laura Elena Harring and Josh Flitter. Directed by Andrew Fleming. [1:39]"
Nanny Diaries , 2007 , PG-13 ,4,3,5,"A young woman (Scarlett Johansson) just graduating from New York University with a degree in Finance and Anthropology is uncertain about her future. In order to try to clear her head and figure out what she wants to do with her life, she takes a position as a nanny for the son of a very wealthy Upper East Side couple. Also with Laura Linney, Paul Giamatti, Chris Evans and Donna Murphy. Directed by Shari Springer Berman & Robert Pulcini. [1:47]"
Nanny McPhee , 2006 , PG ,2,3,3,"Emma Thompson stars as Nanny McPhee, the lead character in her screenplay, based on the Nurse Matilda books by Christianna Brand. The rather unpleasant looking nanny enters the household of a recently widowed man (Colin Firth) whose extremely unruly and ill-behaved children are wreaking havoc. Through magic and punishment she soon restores order. Also with Angela Lansbury, Kelly MacDonald and Thomas Sangster. Directed by Kirk Jones. [1:38]"
Nanny McPhee Returns , 2010 , PG ,2,4,3,"In the second movie in the series, Nanny McPhee (Emma Thompson) appears miraculously in order to help a frazzled British mom (Maggie Gyllenhaal), who's trying to keep the family farm afloat while her husband (Ewan McGregor) is fighting overseas. However, a couple of bratty cousins bring additional troubles and McPhee uses magic to enforce civility. Also with Rhys Ifans, Asa Butterfield, Lil Woods, Oscar Steer, Eros Vlahos, Rosie Taylor-Ritson, Ralph Fiennes and Dame Maggie Smith. Directed by Susanna White. [1:49]"
Napoleon Dynamite , 2004 , PG ,3,4,3,"A young man, with the unlikely moniker Napoleon Dynamite, lives in Idaho with his grandmother and older brother. One day his uncle comes to live with them when his grandmother is injured in an accident, and the rest of the film revolves around these three eccentric people trying to figure out how to get through their lives and find some kind of contentment. With Jon Heder, Efren Ramirez, Aaron Ruell, Tina Majorino and Diedrich Bader. Directed by Jared Hess. [1:26]"
Narc , 2002 , R ,4,8,10,"An undercover police officer (Jason Patric) who has been suspended after a chase ended in the death of a baby, is asked to come back to the force in order to solve a murder case. The murdered man was also an undercover policeman killed in the line of duty and his partner (Ray Liotta) will do anything to resolve the case. Also with Busta Rhymes, Chi McBride and Richard Chevolleau. [1:45]"
National Lampoon's Adam and Eve , 2005 , R ,8,4,6,"A young woman has decided to remain celibate until the time is right, when she feels that she can trust the person she is with enough to commit completely. When she meets a young man and begins to fall in love with him, she struggles as to whether or not she will be able to really know when to commit, and is also afraid that she may lose her boyfriend before she's ready. With Cameron Douglas, Emmanuelle Chriqui, Chad Lindberg, Jake Hoffman and Brian Klugman. Directed by Jeff Kanew. [1:31]"
National Lampoon's Loaded Weapon I , 1993 , PG-13 ,4,4,4,"Parody of the ""Lethal Weapon"" series, ""Basic Instinct,"" ""Silence of the Lambs"" and other movies, with Emilio Estevez and Samuel L. Jackson in the lead roles, and cameos by oodles of Hollywood stars."
National Lampoon's Senior Trip , 1995 , R ,3,2,5,"A group of unruly seniors get to go to Washington, D.C. to talk about education reform with the President."
National Lampoon's Van Wilder: The Rise of Taj , 2006 , R ,8,2,5,"In this sequel, Taj Badalandabad (Kal Penn), who was the personal assistant of Van Wilder in the first film, aims to become the next King of Cool after graduating from Coolidge College. So, he makes his way to England to take his place as a legacy in the most sought after fraternity house on the Camford University campus, but he is turned away due to a typographical error. Also with Shobu Kapoor, Dan Percival, Holly Davidson and Anthony Cozens. Directed by Mort Nathan. [1:35]"
National Lampoon's Vegas Vacation , 1997 , PG ,2,2,3,The Griswold family is back and they're going to Las Vegas.
National Security , 2003 , PG-13 ,4,4,5,"Buddy action flick about two security guards who have to work together to uncover a smuggling operation. The problem is that they hate each other: Martin Lawrence was an arrogant L.A.P.D. cadet who got kicked out of the police academy and got a job as a lowly security guard at ""National Security,"" while Steve Zahn was an uptight police officer who became a security guard at the same firm after being accused of harassment by none other than his current partner in security. Also with Bill Duke, Colm Feore and Eric Roberts. [1:31]"
National Treasure , 2004 , PG ,2,4,1,"Nicolas Cage stars as a man who has grown up with stories of a mysterious treasure, unparalleled in value, and amassed through the ages. He has been pursuing the treasure all of his adult life, to the chagrin of his father, and eventually realizes that the final clues have been inscribed on the back of the Declaration of Independence, and his ex-partner plans to steal the document in order to get the treasure for himself. Also with Diane Kruger, Harvey Keitel, Justin Bartha and Sean Bean. Directed by Jon Turteltaub. [1:40]"
National Treasure: Book of Secrets , 2007 , PG ,1,4,1,"The second installment in the adventure series finds Nicolas Cage struggling to clear his family name from an accusation that his grandfather planned the assassination of President Abraham Lincoln. To do so he must find pages that are missing from assassin John Wilkes Booth's diary. Also with Diane Kruger, Ed Harris, Helen Mirren and Justin Bartha. Directed by Jon Turteltaub. [2:10]"
The Nativity Story , 2006 , PG ,2,4,0,"The story of the events leading up to the birth of Jesus of Nazareth: The story follows the two-year period when Mary and Joseph left Nazareth, journeying to Bethlehem to give birth. With Keisha Castle-Hughes, Shohreh Aghdashloo, Oscar Isaac, Ciaran Hinds and Shaun Toub. Directed by Catherine Hardwicke, Harvey Harrison & Andy Lumsden. [1:41]"
Natural Born Killers , 1994 , R ,7,10,9,Woody Harrelson and Juliette Lewis star as two psychopathic killers who become media darlings.
Nebraska , 2013 , R ,3,4,5,"A grumpy old alcoholic (Bruce Dern) convinces his adult son (Will Forte) to travel 800 miles to Lincoln, Nebraska with him to claim the winnings from a sweepstakes letter. Before the end of the road trip, Dad finds himself in his boyhood hometown, trying to settle old scores. Also with June Squibb, Bob Odenkirk and Stacy Keach. Directed by Alexander Payne. [1:55]"
