movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
O , 2001 , R ,6,6,9,"A modern reworking of William Shakespeare's ""Othello"" set in an elite private school located deep in the American South: Mekhi Phifer stars as the tragic hero, the victim of his own insecurities and the influence of a treacherous friend. He's an NBA hopeful, the only black student at the school and he is dating Julia Stiles; his best friend, the Iago of this rendition, is Josh Hartnett. Also with Martin Sheen and Rain Phoenix. [1:31]"
The Object of My Affection , 1998 , R ,3,1,6,"Jennifer Aniston falls in love with her roommate Paul Rudd, who is gay, in this romantic comedy."
Oblivion , 2013 , PG-13 ,4,6,5,"Decades after aliens destroy the moon and most of the Earth, two soldiers (Tom Cruise and Andrea Riseborough) exterminate scavenger aliens and help extract Earth's remaining resources. While mysterious dreams cause one of the soldiers to question their mission, the other just wants to go to their new home on Saturn's moon Titan. Also with Olga Kurylenko, Morgan Freeman, Melisa Leo and Nickolaj Coster-Waldau. Directed by Joseph Kosinski. [2:05]"
"O Brother, Where Art Thou? ", 2000 , PG-13 ,4,5,4,"Loosely based on Homer's ""Odyssey,"" this Coen Brother's Depression-era comedy stars George Clooney, John Turturro and Tim Blake Nelson as three escaped convicts who encounter numerous obstacles on their way to finding some hidden money. Also with John Goodman, Holly Hunter, Chris Thomas King, Charles Durning, Michael Badalucco, Wayne Duvall, Ed Gale, Ray McKinnon and Daniel von Bargen. [1:46]"
Observe and Report , 2009 , R ,9,7,10,"A man (Seth Rogen) who takes his job as a mall security guard very seriously but is bi-polar, also becomes embroiled in a competition with a police detective (Ray Liotta) who's trying to solve a case of indecent exposure on mall property. Also with Anna Faris, Michael Pena and Jesse Plemons. Directed by Jody Hill. [1:26]"
Obsessed , 2009 , PG-13 ,6,6,4,"Idris Elba stars as a married, successful executive, whose life becomes complicated when a beautiful office temp (Ali Larter) sets her sights on him and tries to tempt him into a sexual relationship. Also with Beyonce Knowles, Jerry O'Connell, Christine Lahti, Bruce McGill and Scout Taylor-Compton. Directed by Steve Shill. [1:40]"
Obvious Child , 2014 , R ,6,2,7,"A Manhattan standup comic (Jenny Slate) has problems: She jokes on stage and off about her life, even when she finds herself single and jobless. She rebounds in love with an MBA student (Jake Lacy) and then finds herself pregnant, with decisions to make. Also with Gabby Hoffman, Gabe Leidman, David Cross, Richard Kind and Polly Draper. Directed by Gillian Robespierre. [1:24]"
Ocean's 8 , 2018 , PG-13 ,3,3,5,"After serving over 5 years in prison, the sister (Sandra Bullock) of Danny Ocean (of the Ocean's Eleven movie series) is released and plans a huge heist with her partner (Cate Blanchett) -- and hopes to also fit in a little revenge in the process. Also with Midori Francis, Elliott Gould, Richard Armitage, Charlotte Kirk, Anne Hathaway, Helena Bonham Carter, Mindy Kaling, Rihanna, Dakota Fanning, Awkwafina and Sarah Paulson. Directed by Gary Ross. A few lines of dialogue are spoken in German and Hindi with English subtitles. [1:50]"
Ocean's Eleven , 2001 , PG-13 ,4,4,5,"George Clooney stars as a charming thief who orchestrates an audacious robbery with a little help from Brad Pitt as an ace card shark, Matt Damon as a master pickpocket, and Don Cheadle as a demolition genius. Their target is three casinos owned by a ruthless entrepreneur. Also with Julia Roberts, Casey Affleck, Frankie J. Allison, Scott Caan, Holly Marie Combs, Mark Gantt, Andy Garcia and Elliott Gould. [1:58]"
Ocean's Thirteen , 2007 , PG-13 ,5,5,4,"In the third installment of the series George Clooney reprises his role as Danny Ocean, and this time he masterminds an elaborate plan to bring down a hotel-casino run by a heartless mogul (Al Pacino) who double-crossed his mentor (Elliott Gould). Matt Damon and Brad Pitt co-star and fake earthquakes, rigged gambling and fireworks round out the plot. Also with Casey Affleck, Ellen Barkin, Scott Caan, Don Cheadle, Carl Reiner, Andy Garcia, Eddie Jemison, Bernie Mac, and Shaobo Qin. Directed by Steven Soderbergh. [2:02]"
