movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Pacific Rim , 2013 , PG-13 ,2,7,4,"Aliens rise from the bottom of the Pacific Ocean and kill millions of people, but humans use their ace in the hole to fight back: an army of giant robot fighters called jaegers. As the human-alien war continues a retired pilot (Chris Hunnam) comes the aid of a tireless commander (Idris Elba) and co-pilot (Mako Mori) to try to defeat the water dwellers. Also with Diego Klattenhoff, Charlie Day, Ron Perlman, Heather Doerksen, Ellen McClain, Robert Kazinsky and Max Martini. Directed by Guillermo del Toro. Several scenes feature English subtitles during conversations in Japanese and Russian. [2:11]"
Pacific Rim: Uprising , 2018 , PG-13 ,2,5,4,"In this sequel a dead war hero's son (John Boyega) reluctantly takes up his father's duties and charged with training young men and women to fight an army of large reptilian enemies, he finds more determination and courage in them than he imagined as the new generation of warriors saves humanity. Also with Scott Eastwood, Cailee Spaeny, Rinko Kikuchi, Charlie Day, Burn Gorman, Adria Arjona and Jian Tian. Directed by Steven S. DeKnight. Many lines of dialogue are spoken in Mandarin with English subtitles and several characters speak with heavy accents from Australia, China and Japan. [1:51]"
The Pacifier , 2005 , PG ,3,4,3,"Vin Diesel stars as a Navy SEAL whose most recent assignment is to protect the children of a scientist, murdered by bad guys who are still after one of his inventions. The five children, aged from baby to teen, want to make sure he doesn't stay for very long, but his military training helps him to become a beloved surrogate father. Also with Lauren Graham, Brittany Snow, Faith Ford and Carol Kane. Directed by Adam Shankman. [1:31]"
Paddington , 2015 , PG ,1,3,1,"Based on the children's stories ""A Bear Called Paddington Bear"" by Michael Bond: A young bear from deepest, darkest Peru is sent away after his uncle dies and his aunt can no longer care for him. When he arrives in England with a note around his neck that reads, ""Please look after this bear"" he learns that finding a home and a family is more difficult than he thought. Also with Nicole Kidman, Ben Whishaw, Imelda Staunton, Hugh Bonneville, Michael Gambon, Sally Hawkins, Peter Capaldi, Julie Walters, Jim Broadbent, Matt Lucas, Samuel Joslin and Madeleine Harris. Directed by Paul King. [1:35]"
Paddington 2 , 2018 , PG ,1,3,1,"The second installment of the beloved bear tales: Paddington (voiced by Ben Whishaw) is now living with the Browns and is anxious to earn enough money to buy his dear Aunt (voiced by Imelda Staunton) a special gift for her 100th birthday. Also with Madeleine Harris, Samuel Joslin, Sally Hawkins, Hugh Grant, Peter Capaldi, Claire Keelan, Hugh Bonneville and the voice of Michael Gambon. Directed by Paul King. [1:43]"
The Pagemaster , 1994 , G ,0,3,0,"A young boy (Macaulay Culkin) is sent on the adventure of his life by The Pagemaster, keeper of the books and guardian of the written word."
Paid in Full , 2002 , R ,7,8,10,"Gangster drama that follows the tumultuous lives of Harlem drug dealers: Wood Harris stars as a young man who's enamored with the expensive cars and flashy clothes his friends seem to effortlessly enjoy. He is quickly seduced into their world of drug dealing and easy money, but eventually realizes that success based on illicit activities comes with a very high cost for one's conscience and personal relationships. Also with Mekhi Phifer, Cam'ron, Kevin Carroll and Chi McBride. [1:33]"
Pain & Gain , 2013 , R ,7,7,10,"A man (Mark Wahlberg) leads several personal trainers and bodybuilders, who in their pursuit of the American Dream are caught up in kidnapping, extortion and murder. Based on the true story of Miami's Sun Gym gang. Also with Dwayne Johnson, Tony Shalhoub, Rebel Wilson, Anthony Mackie, Ken Jeong, Jennifer Nicole Siciliano and Ed Harris. Directed by Michael Bay. [2:09]"
The Painted Veil , 2006 , PG-13 ,6,5,1,"Set in 1920s China during a cholera epidemic: Edward Norton stars as a bacteriologist who proposes marriage to a young society woman (Naomi Watts), hoping to take her with him when he travels to Shanghai. Although she does not love him, she agrees to the marriage so she can leave her disagreeable mother. But when she is caught in an adulterous affair, her husband gives her an ultimatum: either she joins him in a small, disease stricken village, or he will embarrass her by filing for divorce. Also with Liev Schreiber, Sally Hawkins and Toby Jones. Directed by John Curran. [2:05]"
The Pallbearer , 1996 , PG-13 ,3,2,5,David Schwimmer is mistaken for a dead classmate's best friend and this leads to funny romantic dilemmas.
Palmetto , 1998 , R ,4,5,7,"A man (Woody Harrelson) takes part in a kidnapping plot for money, but winds up getting more than he bargained for. With Elisabeth Shue."
Pan , 2015 , PG ,2,4,3,"Living in an orphanage, the boy who would become Peter Pan (Levi Miller) is sold and whisked away to the magic Neverland during the 1940s London Blitz. He finds adventure and danger as he meets the future Captain Hook (Garrett Hedlund) and fights the pirate Blackbeard (Hugh Jackman) with Princess Tiger Lily (Rooney Mara). Also with Lewis MacDougal, Adeel Akhtar and Amanda Seyfried. Directed by Joe Wright. [1:51]"
The Pandora Project , 1998 , R ,2,6,6,"Daniel Baldwin is the only CIA agent skilled enough to retrieve a deadly radioactive bomb that his equally-crafty former partner stole from the government. Erika Eleniak, Richard Tyson, Tony Todd, Jeff Yagher, Bo Jackson and Robert Hegyes co-star."
Pandorum , 2009 , R ,2,8,8,"After awaking in a space station after a long period of time, an astronaut (Ben Foster) tries to piece together what might have happened while he was asleep. He finds a few survivors, and together they try to save themselves and the ship from strange creatures that want to eat them. Also with Dennis Quaid, Cam Gigandet, Norman Reedus and Cung Le. Directed by Christian Alvart. [1:48]"
Panic Room , 2002 , R ,2,7,10,"A recently divorced woman (Jodie Foster) and her daughter move into an enormous brownstone in Manhattan, which was owned by a very wealthy and paranoid man. The new homeowners are not even unpacked when three men break into the house looking for hidden fortune. The only place to hide is a special, supposedly impregnable ""panic room."" Problem is, that's exactly where the fortune is hidden. Also with Forest Whitaker, Dwight Yoakam, Jared Leto, Kristen Stewart and Patrick Bauchau. [1:48]"
Pan's Labyrinth , 2006 , R ,2,8,5,"Set in 1940s Spain, during the authoritarian rule of Francisco Franco: A lonely and imaginative girl, whose mother marries a successful but brutal military captain, creates fantastical creatures and an imaginary world that transports her far away from her depressing reality. In Spanish with English subtitles. With Maribel Verdu, Ivana Baquero, Sergi Lopez, Ariadna Gil and Alex Angulo. Directed by Guillermo del Toro. [2:00]"
Panther , 1995 , R ,3,8,9,The rise of the Black Panther party in 1960's California is chronicled in this film directed by Mario Van Peebles.
Paparazzi , 2004 , PG-13 ,5,6,4,"A movie actor (Cole Hauser) enjoys a meteoric rise to stardom, but suffers the consequences when an overzealous group of paparazzi stalk his every move and that of his family. When the paparazzi cause a car accident that injures his wife (Robin Tunney) and son, he concocts a revenge plot against them. Also with Dennis Farina, Tom Sizemore and Larry Cedar. Directed by Paul Abascal. [1:25]"
The Paper , 1994 , R ,4,4,5,Story about the city editor (Michael Keaton) of a New York tabloid which badly needs a scoop. Marisa Tomei and Glenn Close co-star.
The Paperboy , 2012 , R ,8,7,10,"A big-time reporter (Matthew McConaughey) returns to his hometown to investigate a case involving a death-row inmate (John Cusack), who may have been wrongfully convicted. Also with Nicole Kidman, Zac Efron, David Oyelowo and Macy Gray. Directed by Lee Oliver. [1:47]"
Paper Towns , 2015 , PG-13 ,4,3,4,"A high school senior (Nat Wolff) preparing to venture off to college is recruited to help his neighbor (Cara Delevingne), whom he has loved since they met, avenge herself against a cheating boyfriend. She then disappears and convinced that she has left him clues to her whereabouts, he takes a road trip hoping of finding her. Also with Austin Abrams, Justice Smith, Halston Sage, Jaz Sinclair and Cara Buono. Directed by Jake Schreier. [1:49]"
Paradise Now , 2005 , PG-13 ,1,3,5,"Two Palestinian men work together as automobile mechanics, when they are chosen to carry out a suicide bombing in Tel Aviv. They spend what is to be their last evening with their families, and the next morning they set off. However, when the two men become separated, their motivations become suspect and the reality of what they were going to do become clear to them. In Arabic with English subtitles. With Lubna Azabel, Amer Hiehel, Kais Nashef, Ali Suliman and Lubna Azabal. Directed by Hany Abu-Assad. [1:30]"
