movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Quantum of Solace , 2008 , PG-13 ,5,7,4,"The second James Bond outing with Daniel Craig picks up where ""Casino Royale"" ended: Bond tries to uncover the mysterious organization that controls international crime, and runs afoul of his own MI6 and the C.I.A., but receives unofficial help from his friend Felix Leiter (Jeffrey Wright). Also with Judi Dench, Giancarlo Giannini, Jesper Christensen, Mathieu Amalric, Gemma Arterton, Olga Kurylenko, Anatole Taubman and Joaquin Cosio. Directed by Marc Forster. [1:45]"
Quarantine , 2008 , R ,3,10,6,"A TV reporter and her camera operator (Jennifer Carpenter and Steve Harris) shadow a group of firefighters on a call to an apartment building where residents appear to be suffering from a very contagious disease, with gruesome symptoms. Also with Jay Hernandez, Columbus Short, Johnathon Schaech, Greg Germann, Dania Ramirez, Rade Serbedzija and Andrew Fiscella. Directed by John Erick Dowdle. [1:26]"
Quartet , 2013 , PG-13 ,4,3,5,"In a retirement home for musicians several very talented people struggle with aging, while preparing for the annual concert to honor Verdi's birthday. Life is disrupted when the former wife of one of the residents arrives. Also with Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Sheridan Smith, Andrew Sachs and Gwyneth Jones. Directed by Dustin Hoffman. [1:38]"
The Queen , 2006 , PG-13 ,1,3,5,"A fictional portrait of the British Royal family's handling of the death of Princess Diana in August of 1997. As the Princess's immense popularity with the British public becomes clear, the Queen (Helen Mirren) has to consider how their private lives have become fodder for celebrity journalism. Also with Michael Sheen, James Cromwell, Sylvia Syms and Helen McCrory. Directed by Stephen Frears. [1:43]"
Queen of Earth , 2015 , NR ,3,3,6,"Two women (Elisabeth Moss and Katherine Waterston) meet at a family lake house hoping to reconnect and recover from painful events in their lives. They soon realize that they have both changed and their friendship is tested. Also with Patrick Fugit, Kentucker Audley and Keith Poulson. Directed by Alex Ross Perry. [1:30]"
Queen of Katwe , 2016 , PG ,2,3,1,"Based on a true story: In Uganda a young girl (Madina Nalwanga) shows extraordinary chess playing skills, thought an unusual trait for girls and the poor. Encouraged and challenged to succeed by her brother and mentors, she hones her skills against chauvinistic boys, rich snobs, and international chess masters. Also with David Oyelowo, Lupita Nyong'o, Martin Kabanz and Taryn Kyaze. Directed by Mira Nair. Several lines of dialogue are in an Ugandan language with English subtitles. [2:04]"
Queen of the Damned , 2002 , R ,5,8,5,"An adaptation of Anne Rice's best-selling novel, with Stuart Townsend taking over from Tom Cruise as the vampire Lestat. The late Aaliyah co-stars as an ancient, malevolent vampire queen who is awakened from her centuries long slumber by Lestat's rock tunes (the infamous vampire has reinvented himself as a rock star in contemporary America) and decides to make him her king. Complications arise when a young woman (Marguerite Moreau) falls for Lestat too. Also with Claudia Black, Vincent Perez, Paul McGann, Lena Olin, Christian Manon and Claudia Black. [1:41]"
The Quest , 1996 , PG-13 ,0,6,5,Jean-Claude Van Damme takes part in a martial arts competition in Asia.
Quest for Camelot , 1998 , G ,0,3,1,"A young woman, the daughter of a Knight of the Round Table, with the help of a blind hermit, goes on a quest to find Excalibur."
A Question of Faith , 2017 , PG ,1,4,1,"A young woman (Karen Valero) driving while texting strikes a 12-year-old boy (Caleb T. Thomas) and is sentenced to prison. Elsewhere, a teen girl collapses with a failed heart. Pushed together by tragedy, the three families struggle with their beliefs and make unexpected connections. Also with Richard T. Jones, Kim Fields, Gregory Alan Williams, Donna Biscoe, C. Thomas Howell, Renée O'Connor, Amber Thompson, T.C. Stallings and Jaci Velasquez. Directed by Kevan Otto. [1:44]"
The Quick and the Dead , 1995 , R ,3,6,3,Sharon Stone and Gene Hackman star in this western tale of revenge.
The Quiet , 2006 , R ,7,7,7,"The godparents of a teenage girl whose own parents have died adopt her, and because she is hearing impaired, everyone confesses their problems to her, assuming that she cannot hear what they are saying. Thus dark secrets about incest and plans for revenge are revealed, destroying the façade of idyllic suburban life. With Elisha Cuthbert, Edie Falco, Camilla Belle, Shawn Ashmore and Martin Donovan. Directed by Jamie Babbit. [1:36]"
The Quiet Ones , 2014 , PG-13 ,5,6,5,"After their paranormal research project has been de-funded, a professor (Jared Harris) and his student assistants (Sam Clafin, Erin Richards and Rory Fleck-Byrne) experiment with a mysterious woman (Olivia Cooke). They attempt to capture a poltergeist, but discover other forces they cannot control. Also with Laurie Calvert, Max Pirkis, Richard Cunningham and Gemma Garvin. Directed by John Pogue. [1:38]"
A Quiet Place , 2018 , PG-13 ,2,7,0,"A family tries to survive in a post-apocalyptic landscape where the slightest sound can bring forth insectoid alien monsters that while blind can apparently hear everything. The parents (John Krasinski and Emily Blunt) and their children (Noah Jupe, Millicent Simmonds and Cade Woodward) must live silently, using only sign language and facial expressions. Also with Leon Russom. Directed by Krasinski. Almost all dialogue is in American Sign Language accompanied by English subtitles. [1:35]"
Quills , 2000 , R ,10,10,7,"Based on a 1995 play about the real life of 18th century erotic writer Marquis de Sade (Geoffrey Rush) and his relationship with a virgin laundress (Kate Winslet). The film offers endorsements for art, freedom and sexuality and denounces science, religion and censorship. Also with Joaquin Phoenix, Michael Caine and Michael Jenn. [2:04]"
Quiz Show , 1994 , PG-13 ,1,0,5,"Drama exploring the scandal which engulfed fixed TV game shows during the 1950s. With John Turturro, Rob Morrow and Ralph Fiennes."
