movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Rabbit Hole , 2010 , PG-13 ,2,4,5,"A husband and his wife (Aaron Eckhart and Nicole Kidman) struggle every day trying to come to terms with the death of their young son. Hence, they seek strength in support groups and try to distract themselves with work and other tasks, but seem unable to comfort each other. Also with Dianne Wiest, Tammy Blanchard, Miles Teller, Giancarlo Esposito, Sandra Oh, Jon Tenney and Patricia Kalember. Directed by John Cameron Mitchell. [1:31]"
Race , 2016 , PG-13 ,2,3,4,"The story of Jesse Owens and the lead up to his record breaking gold metal victories at the 1936 Olympic Games in Berlin. He was confronted with segregation and racism stateside as well as Nazi notions of Aryan racial superiority in Germany. Also with Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton, Carice van Houten, Jeremy Irons, William Hurt, David Kross, Shamier Anderson and Jonathan Higgins. Directed by Stephen Hopkins. Several lines of dialogue are spoken in German with translation and subtitles in English. [2:14]"
Race the Sun , 1996 , PG ,2,3,3,A group of misfit teenagers engineer a solar powered car and drive it across Australia.
Race to Witch Mountain , 2009 , PG ,1,4,0,"A down-on-his-luck taxi driver (Dwayne Johnson) shuttles tourists in Las Vegas and tries to stay out of trouble. It all changes when he finds two teens in the back seat of his cab carrying a large amount of money and asking for transportation to an isolated desert location. He soon realizes that one of the teens has the power to pass through matter and the other can moving objects with her thoughts and communicate telepathically. Also with Ciaran Hinds, Anna-Sophia Robb, Alexander Ludwig, Carla Gugino, Garry Marshall, Kim Richards, Ike Eisenmann, Tom Everett Scott and Christopher Marquette. Directed by Andy Fickman. [1:39]"
Rachel Getting Married , 2008 , R ,6,4,6,"A troubled young woman (Anne Hathaway) looks forward to returning home after a long stint at rehab, only to find herself in the midst of her older sister's (Rosemarie Dewitt) chaotic wedding. As family and friends gather together, old wounds are re-opened, and relationships -- both old and new -- make way for an addict's self-discovery. Also with Matthew Zickel, Bill Irwin, Anna Deavere Smith, Anisa George, Tunde Adebimpe, Debra Winger, Jerome Le Page and Robyn Hitchcock. Directed by Jonathan Demme. [1:56]"
Racing Stripes , 2005 , PG ,2,3,2,"The story of a boy zebra that ends up being raised by a Kentucky horse farmer who used to train race horses. Under the impression that it is a thoroughbred, the zebra decides it can win the prestigious Kentucky Crown, if it will only train hard enough. The thoroughbreds it is pitted against try to convince the zebra that it doesn't have a chance. With Bruce Greenwood, Hayden Panettiere, Caspar Poyck, Gary Bullock, Wendie Malick and M. Emmet Walsh, and with the voices of Frankie Muniz, Mandy Moore, Michael Clarke Duncan, Jeff Foxworthy, Joshua Jackson, Snoop Dogg, David Spade, Whoopi Goldberg, Dustin Hoffman, Fred Dalton Thompson and Steve Harvey. Directed by Frederik Du Chau. [1:24]"
Radio , 2003 , PG ,3,4,4,"Inspired by the true story of James Robert Kennedy (Cuba Gooding Jr.), a mentally handicapped young man living in South Carolina in 1976, nicknamed Radio. His relationship with the football coach (Ed Harris) of the nearby high school raised some eyebrows at first, but eventually inspired the entire community. Also with S. Epatha Merkerson, Riley Smith and Debra Winger. Directed by Michael Tollin. [1:49]"
Radioland Murders , 1994 , PG ,4,4,3,"Mix of comedy, romance and mystery taking place in a 1939 radio station."
The Rage: Carrie 2 , 1999 , R ,5,8,7,"The half-sister of Carrie White unleashes her telekinetic fury on a group of students who make her the butt of a cruel practical joke. With Emily Bergl, Amy Irving, Jason London, Zachery Ty Bryan, Mena Suvari, Charlotte Lopez, Dylan Bruno, Justin Urich and Rachel Blanchard. [1:44]"
The Raid: Redemption , 2011 , R ,1,10,10,"Indonesian film about elite police officers that raid a tenement building run by a ruthless drug lord. The police must battle with an army of determined killers bent on preventing anyone from reaching their boss, who's hiding on the top floor. With Iko Uwais, Ananda George and Ray Sahetapy. Directed by Gareth Evans. (Original title: ""Serbuan Maut."") [1:41]"
