movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Sabotage , 2014 , R ,7,9,10,"The men and women of a Special Forces DEA unit complete a major drug bust but they also steal a fortune in cash from the drug cartel and someone begins to assassinate them one by one. With Arnold Schwarzenegger, Sam Worthington, Olivia Williams, Terrence Howard, Joe Manganiello, Harold Perrineau, Martin Donovan, Max Martini, Josh Holloway and Mireille Enos. [1:50]"
Safe , 2012 , R ,0,8,6,"Jason Statham stars as a man with a dark past, suffering from guilt. When his wife is murdered, he becomes homeless and wanders the streets until one day he encounters a 12-year-old girl (Catherine Chan) hiding from Russian thugs. When he takes them on to protect her, he doesn't know just how deeply involved he will become. Also with Chris Sarandon, Anson Mount, James Hong, Reggie Lee, Robert John Burke, Sándor Técsy and Joseph Sikora. Directed by Boaz Yakin. [1:35]"
Safe Haven , 2013 , PG-13 ,6,5,4,"Adapted from Nicholas Sparks' novel, a young woman (Julianne Hough) escapes to a small Southern town where she falls in love with a handsome widower (Josh Duhamel). When a dark secret comes back to haunt her, she must face her past. Also with Irene Ziegler, David Lyons, Ric Reitz and Robin Mullins. Directed by Lasse Hallstrom. (1:55)"
Safe House , 2012 , R ,4,8,5,"A CIA agent (Ryan Reynolds) is tasked with securing a safe house but after his prisoner, a former CIA agent (Denzel Washington), is targeted and attacked, they find themselves on the run. Also with Robert Patrick, Vera Farmiga, Sam Shepard and Brendan Gleeson. Directed by Daniel Espinosa. [1:55]"
Safe Men , 1998 , R ,2,3,9,"In this comedy, a mob boss forces struggling musicians Sam Rockwell and Steve Zahn to crack safes. Also with Mark Ruffalo, Josh Pais, Paul Giamatti, Michael Lerner, Harvey Fierstein, Christina Kirk and Michael Schmidt. [1:29]"
Safe Passage , 1995 , PG-13 ,4,3,5,Susan Sarandon stars as a mother of seven boys who must deal with conflicts between her maternal role and her desire for independence. Sam Shepard also stars.
Safety Not Guaranteed , 2012 , R ,5,4,5,"An offbeat classified ad draws the attention of three magazine employees (Aubrey Plaza, Jake Johnson and Karan Soni) who set out to meet the advertiser. They find a supermarket clerk (Mark Duplass) who thinks he's invented time travel. The four embark on a bittersweet adventure to find lost loves and new lives. Also with Jenica Bergere, Kristen Bell, Jeff Garlin and Mary Lynn Rajskub. Directed by Colin Trevorrow. [1:25]"
Sahara , 2005 , PG-13 ,2,5,5,Matthew McConaughey stars as an explorer who goes to North Africa with his longtime friend (Steve Zahn) determined to find a legendary Civil War ship that's reportedly filled with treasure. Along the way he meets a World Health Organization doctor (Penelope Cruz) who believes that there's a link between the ship and an unexplained outbreak of disease and death in the area. Also with Lambert Wilson and William H. Macy. Directed by Breck Eisner. [2:07]
The Saint , 1997 , PG-13 ,3,5,5,Val Kilmer is a superthief who gets caught up in Russian politics and cold fusion research in this espionage thriller.
Salmon Fishing in the Yemen , 2012 , PG-13 ,6,5,5,"When a Scottish fisheries expert (Ewan McGregor) is hired as a consultant to help a Sheik bring his beloved fly-fishing to the desert, he is paired with a management consultant (Emily Blunt) and the two embark on their improbable mission together. Also with Amr Waked, Catherine Steadman and Tom Beard. Directed by Lasse Hallström. [1:51]"
Salt , 2010 , PG-13 ,3,7,4,"A CIA operative (Angelina Jolie) stands accused as a KGB spy, and when her husband goes missing, she begins to behave as a Russian operative, catching up with an escaped Russian double agent to join his group in NYC. Meanwhile, her CIA partner (Liev Schreiber) attempts to help her disprove an accusation that she plans to kill both the Presidents of Russia and US. Also with Chiwetel Ejiofor, Daniel Olbrychski and Andre Braugher. Directed by Philip Noyce. In English and Russian with English subtitles. [1:40]"
Same Kind of Different as Me , 2017 , PG-13 ,2,4,3,"A wealthy art dealer (Greg Kinnear) befriends a chronically homeless man (Djimon Hounsou) so that he can impress his Christian wife (Renée Zellweger), who dreams of improving the lives of the less fortunate. Finally her husband begins to listen. Also with Olivia Holt, Jon Voight and Stephanie Leigh Schlund. Directed by Michael Carney. [2:00]"
Samson , 2018 , PG-13 ,1,5,1,"Based on the Old Testament Book of Judges: Samson (Taylor James), a young long-haired Hebrew prince with amazing physical strength is destined to defend his people against their oppressors but his doomed love for a Philistine woman (Frances Sholto-Douglas) leads him to murder, war and disaster. Also with Jackson Rathbone, Caitlin Leahy, Rutger Hauer, Billy Zane and Lindsay Wagner. Directed by Bruce Macdonald. [1:49]"
San Andreas , 2015 , PG-13 ,1,6,5,"An LAFD helicopter pilot (Dwayne Johnson) is blindsided when California's San Andreas Fault creates several Magnitude 9 earthquakes that threaten the lives of his estranged wife (Carla Gugino) and daughter (Alexandra Daddario). He determines to save them and other victims from the destruction that ranges from Los Angeles to San Francisco. Also with Colton Haynes, Archie Panjabi, Paul Giamatti and Kylie Minogue. Directed by Bret Peyton. [1:54]"
Sanctum , 2011 , R ,3,7,8,"Inspired by a true story, cave-exploring divers (Richard Roxburgh, Ioan Gruffudd, Rhys Wakefield, Dan Wyllie, Allison Cratchley and Alice Parkinson) are trapped in a series of underwater caves and must find their way out after a freak storm collapses the entrance. Directed by Alister Grierson. [1:43]"
The Sandlot , 1993 , PG ,1,1,2,"A ""rite of passage"" story, with the kids coming to grips with their greatest fear and facing it head-on."
The Santa Clause , 1994 , PG ,1,1,0,"Tim Allen stars as a man who is inadvertently transformed into Santa, when the latter falls off a roof."
The Santa Clause 2 , 2002 , G ,2,3,2,"Scott Calvin (Tim Allen) has been Santa Claus for the past eight years, and his loyal elves consider him the best Santa ever. But Santa's world is turned upside down when he's dealt a double whammy of bad news: not only has his teen son landed on the year's naughty list, but if Scott doesn't marry by Christmas Eve he'll stop being Santa. Also with Spencer Breslin, Elizabeth Mitchell, Eric Lloyd, Judge Reinhold and David Krumholtz. [1:45]"
The Santa Clause 3: The Escape Clause , 2006 , G ,1,3,1,"Tim Allen reprises his role as Santa Claus; in this installment he is expecting a baby Claus, and he also must deal with a jealous and mischievous Jack Frost (Martin Short) who comes up with a plan to convince Santa to hand over his holiday. Also with Elizabeth Mitchell, Judge Reinhold, Wendy Crewson and Eric Lloyd. Directed by Michael Lembeck. [1:38]"
