movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Table 19 , 2017 , PG-13 ,5,2,5,"When a woman's (Anna Kendrick) boyfriend of 2 years (Wyatt Russell) breaks up with her, she is taken out of the bridal party of her oldest friend. Now she has to try to make the best of the situation, while seeing her ex with another woman and being seated with the undesirable invitees at table 19. Also with Stephen Merchant, Amanda Crew, Lisa Kudrow, Maria Thayer, Craig Robinson, Tony Revolori, June Squibb and Thomas Cocquerel. Directed by Jeffrey Blitz. [1:27]"
Tadpole , 2002 , PG-13 ,4,0,5,"A 15-year-old boy (Aaron Stanford) comes home for a weekend from his private high school hoping that he'll finally work up the courage to tell his stepmother (Sigourney Weaver) that he's in love with her -- he apparently finds girls his own age insipid and longs for women of a certain age. However, before he's able to confess, he ends up sleeping with his stepmother's best friend (Bebe Neuwirth). Also with John Ritter, Robert Iler and Adam LeFevre. [1:15]"
Tag , 2018 , R ,6,4,10,"Based on a feature story published in The Wall Street Journal: A group of super-competitive men (Ed Helms, Jake Johnson, Hannibal Buress, Jon Hamm and Jeremy Renner) start playing a game of elaborate tag with each other that lasts 23 consecutive years. Also with Isla Fisher, Rashida Jones, Annabelle Wallis and Leslie Bibb. Directed by Jeff Tomsic. [1:40]"
Tailor of Panama , 2001 , R ,9,6,8,"A British spy (Pierce Brosnan) finds himself in Panama and proceeds to convince a famous tailor (Geoffrey Rush) to do some spying himself on local political endeavors. Also with Jamie Lee Curtis, Leonor Varela, Brendan Gleeson, Harold Pinter and Catherine McCormack. [1:49]"
Take Me Home Tonight , 2011 , R ,8,4,10,"It is the late 1980s and a recent MIT graduate (Topher Grace) is disgruntled with life after college since he finds himself working at a local mall, his best friend (Dan Fogler) has just lost his job and his twin sister (Anna Faris) is marrying her selfish boyfriend (Chris Pratt). But when his high school crush (Teresa Palmer) comes back into the picture, he thinks his luck may be turning around. Also with Michael Biehn, Michelle Trachtenberg, Demetri Martin, Michael Ian Black and Bob Odenkirk. Directed by Michael Dowse. [1:54]"
Taken , 2009 , PG-13 ,6,7,4,"A retired government agent's (Liam Neeson) 17-year-old daughter (Maggie Grace) takes a trip with a friend to Paris. Shortly after their arrival they are kidnapped and her father pursues her captors without any restraint. Also with Famke Janssen, Leland Orser, Anjul Nigam, Jon Gries, David Warshofsky, Holly Valance, Katie Cassidy, Olivier Rabourdin, Radivoje Bukvic, Goran Kostic, Olivier Rabourdin and Arben Bajraktaraj. Directed by Pierre Morel. [1:31]"
Taken 2 , 2012 , PG-13 ,3,7,4,"Liam Neeson returns as the former government security agent who rescued his daughter from a sex slave operation in 2009's ""Taken."" This time, in Istanbul, men seeking revenge for the people he killed are determined to kill him, as well as his ex-wife (Famke Janssen) and daughter (Maggie Grace). Also with Rade Serbedzija. Directed by Olivier Megaton. [1:32]"
Taken 3 , 2015 , PG-13 ,2,6,5,"The third installment in the ""Taken"" series: A man's (Liam Neeson) ex-wife (Famke Janssen) is murdered in his apartment and he is assumed to be responsible. He begins his own search while trying to keep his daughter (Maggie Grace) safe. Some dialogue is in Russian with English subtitles. Also with Forest Whitaker and Dougray Scott. Directed by Olivier Megaton. [1:49]"
Takers , 2010 , PG-13 ,4,6,5,"A band of bank robbers (Chris Brown, Hayden Christensen and Michael Ealy, T.I.) pull off their biggest heist, but their seemingly perfectly laid plans begin to crumble after a run in with a rival band of criminals and a hard-nosed police detective (Matt Dillon). Also with Paul Walker, Idris Elba, Jay Hernandez. Directed by John Luessenhop. [1:47]"
Take Shelter , 2011 , R ,2,6,5,"A young husband and father (Michael Shannon) is plagued by a series of apocalyptic visions, that force him to question his own sanity; he must then decide between sheltering his family from the coming storm or come to terms with the idea that he's psychotic and it's all in his head. Also with Jessica Chastain, Shea Whigham and Katy Mixon. Directed by Jeff Nichols. [2:00]"
