movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
U-571 , 2000 , PG-13 ,1,6,4,"A botched assignment to commandeer a German U-Boat and steal its message decoder leaves a small American Navy crew aboard a damaged submarine in enemy waters. With Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, Jake Weber, Erik Palladino, Matthew Settle, David Keith, Thomas Kretschmann, Robin Askwith, Terrence 'T.C.' Carson, Derk Cheetwood, Will Estes, Tom Guiry, Jack Noseworthy and Dave Power. [1:55]"
The Ugly Truth , 2009 , R ,8,3,6,"Katherine Heigl plays a controlling morning TV show producer who agrees to participate in a set of relationship experiments authored by an insensitive TV host (Gerard Butler). He attempts to apply his own chauvinistic relationship theories to her relationships, but ends up with surprising results. Also with Bree Turner, Eric Winter, Nick Searcy, Jesse D. Goins, Cheryl Hines and Kevin Connolly. Directed by Robert Luketic. [1:35]"
Ultraviolet , 2006 , PG-13 ,3,7,4,"Sci-fi action film set in the late 21st century: a subspecies of humans with super human physical attributes has evolved due to a genetic mutation, but the government wants to destroy them and treats them as outcasts. Enter Milla Jovovich as Violet, aka V, a super-stylish and super lethal warrior out to get revenge. Also with Cameron Bright, William Fichtner, Nick Chinlund and Sebastien Andrieu. Directed by Kurt Wimmer. [1:25]"
Unaccompanied Minors , 2006 , PG ,1,3,2,"It's Christmas Eve, and a group of young teens and children who are unaccompanied by adults are stranded in an airport when all flights are cancelled due to a blizzard. Running away from the Christmas-hating airport manager (Lewis Black) and the airport security guards, the unaccompanied minors wreak havoc in the name of true holiday spirit. Also with Wilmer Valderrama, Dyllan Christopher, Gina Mantegna, Quinn Shephard and Tyler J. Williams. Directed by Paul Feig. [1:29]"
The Unborn , 2009 , PG-13 ,4,8,5,"A young woman (Odette Yusman) is possessed by the spirit of her dead twin, and she turns to her ailing grandmother (Jane Alexander), who reveals secrets about her haunted past, and to a rabbi (Gary Oldman), pleading with him to perform an exorcism. Also with Meagan Good, Cam Gigandet, Idris Elba and Carla Gugino. Directed by David S. Goyer. [1:28]"
Unbreakable , 2000 , PG-13 ,2,5,3,"The sole survivor of a terrible train wreck (Bruce Willis) discovers a surprising explanation for his unscathed existence with help from a comic book dealer (Samuel L. Jackson). Also with Robin Wright Penn, Spencer Treat Clark, John Patrick Amedori, Greg Korin, Sean Oliver, Joey Perillo and Jose L. Rodriguez. [1:47]"
Unbroken , 2014 , PG-13 ,3,6,5,"Based on a true WWII story: A famous Olympic runner (Jack O'Connell) serving in the Army Air Force is stranded with two of his crew (Domhnall Gleeson and Finn Wittrock) after crashing in the Pacific Ocean. They survive in open water for two months before being captured and tortured by Japanese troops. Also with Garrett Hedlund, John Magaro, Alex Russell and Miyavi. Directed by Angelina Jolie. Several lines of dialogue are in Italian and Japanese with English subtitles; a few phrases are not translated. [2:17]"
Uncle Drew , 2018 , PG-13 ,4,3,4,"A sports enthusiast (Lil Rel Howery) spends his life savings to enter a team in Harlem's Rucker Classic street basketball tournament. After many false starts, he loses his team to his rival (Nick Kroll) and in desperation he seeks help from legendary Uncle Drew (Kyrie Irving), who accepts the challenge and brings a team of 70-year-old ailing All Stars with him (Shaquille O'Neal, Chris Webber, Reggie Miller, Nate Robinson and Lisa Leslie). Also with Tiffany Haddish, Erica Ash, Aaron Gordon, J.B. Smoove and Mike Epps. Directed by Charles Stone III. [1:43]"
Undefeated , 2012 , PG-13 ,2,3,5,"Two documentary filmmakers follow the 2009 football season of Manassas High School, in rough-and-tumble North Memphis. After countless years with a struggling program, volunteer coach Bill Courtney challenges his players, many of whom have been disregarded or forgotten by society, to build character, put team first and become winners. Directed by Daniel Lindsay. [1:50]"
Underclassman , 2005 , PG-13 ,4,5,4,"Nick Cannon stars as a young-looking police detective assigned to go undercover on a private high school campus to find information about the death of a student there, despite the fact that his captain considers him to be a loose cannon. While trying to dig up clues he uncovers a highly organized international auto-theft ring. Also with Roselyn Sanchez, Shawn Ashmore, Cheech Marin and Kelly Hu. Directed by Marcos Siega. [1:35]"
