movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Vacancy , 2007 , R ,5,8,7,"Luke Wilson and Kate Beckinsale star as a husband and wife whose relationship has been shattered by the death of their young son, and plan to divorce. While driving one night they are stranded when their car breaks down on a dark country road, and have to stay in a motel where, as they soon discover, murdering the guests is part of the service. Also with Frank Whaley, Ethan Embry and Scott G. Anderson. Directed by Nimrod Antal. [1:20]"
Vacation , 2015 , R ,7,6,9,"In this sequel a new generation of Griswolds (Ed Helms, Christina Applegate, Skyler Gisondo and Steele Stebbins) take a vacation to iconic Walley World and fall into a series of misadventures on the way. Also with Chevy Chase, Beverly D'Angelo, Leslie Mann and Chris Hemsworth. Directed by John Francis Daley & Jonathan M. Goldstein. [1:39]"
Valentine , 2001 , R ,7,8,6,"Four childhood friends believe they're being stalked by a nerdy classmate they scorned many years before when they learn of another friend's murder. With David Boreanaz, Denise Richards, Marley Shelton, Jessica Capshaw, Jessica Cauffiel, Katherine Heigl, Fulvio Cecere, Daniel Cosgrove, Johnny Whitworth and Hedy Burress. [1:35]"
Valentine's Day , 2010 , PG-13 ,6,2,4,"A look at how Valentine's Day effects several Los Angeles couples: some are already in relationships, others want to be in relationships, a few are ending relationships and still others discover more than they want about themselves and their partners. With Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Carter Jenkins, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts and Bryce Robinson. Directed by Garry Marshall. [1:57]"
Valerian and the City of a Thousand Planets , 2017 , PG-13 ,4,5,3,"Sci-Fi film set in the 28th century about two agents of the Ministry of Defense (Dane DeHaan and Cara Delevingne) that embark on an assignment, which involves a mystery that unless they can solve may doom the City of a Thousand Planets. Also with Clive Owen, Rihanna, Ethan Hawke, Herbie Hancock, Kris Wu and Sam Spruell. Directed by Luc Besson. [2:17]"
Valiant , 2005 , G ,2,3,1,"Animated tale about a group of pigeons who volunteer for duty in the RHPS (Royal Homing Pigeon Service) to deliver messages and orders during World War II. One undersized but brave pigeon named Valiant (voiced by Ewan McGregor) saves the day when the ruthless German falcons attack. Also with the voices of Jim Broadbent, John Cleese, Tim Curry, Hugh Laurie and Rupert Everett. Directed by Gary Chapman. [1:49]"
Valkyrie , 2008 , PG-13 ,1,7,5,"Based on a true story: During WWII a Nazi officer (Tom Cruise) comes to realize that his ideas about the future of Germany and how war is waged are completely dissimilar to the military culture of the Third Reich. He becomes convinced that the only solution is to assassinate Adolph Hitler and reclaim the military from the SS. Also with Kenneth Branagh, Bill Nighy, Tom Wilkinson, Carice van Houten, Thomas Kretschmann, Terence Stamp and Eddie Izzard. Directed by Bryan Singer. [2:00]"
Vampire Academy , 2014 , PG-13 ,5,6,4,"A teen girl (Zoey Deutch) is a human/vampire hybrid tasked to protect another teen girl (Lucy Fry), who's a mortal vampire threatened by vicious immortal vampires. Also with Danila Kozlovsky, Gabriel Byrne, Dominic Sherwood, Olga Kurylenko, Sarah Hyland, Cameron Monaghan, Sami Gayle, Ashley Charles, Claire Foy and Joely Richardson. Directed by Mark Waters. [1:44]"
Vampire in Brooklyn , 1995 , R ,3,8,8,Eddie Murphy is a vampire in Brooklyn searching for a lost female vampire to be his mate.
Vampires Suck , 2010 , PG-13 ,6,7,5,"A parody of the ""Twilight"" movie series follows the story line closely, with a young woman torn between her love for a vampire and her friendship with a werewolf. With Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi, Arielle Kebbel, B.J. Britt and Charlie Weber. Directed by Jason Friedberg & Aaron Seltzer. [1:20]"
Van Helsing , 2004 , PG-13 ,4,7,2,"19th century monster hunter Dr. Gabriel Van Helsing (Hugh Jackman) travels to Transylvania in an attempt to rid the world of supernatural evil as personified by Count Dracula (Richard Roxburgh), the Wolf Man (Will Kemp), Dr. Jekyll and Mr. Hyde and Frankenstein's Monster (Shuler Hensley). He is assisted by the descendant (Kate Beckinsale) of a family committed to destroying Dracula. Also with Elena Anaya and David Wenham. Directed by Stephen Sommers. [2:25]"
Vanilla Sky , 2001 , R ,8,7,9,"Remake of the Spanish existential thriller ""Abre Los Ojos."" Cameron Crowe directs and Tom Cruise stars as a wealthy New York City publishing executive who one night meets the girl of his dreams (Penelope Cruz), only to be thrust headlong into a mind-bending adventure where there's hardly any distinction between reality and dreams. Also with Cameron Diaz, Jason Lee and Kurt Russell. [2:25]"
The Vanishing , 1993 , R ,0,7,6,"Hollywood remake of the eponymous 1988 French/Dutch film, about a man obsessed with learning the fate of a girlfriend who vanished without a trace, and his encounter with a strange man who claims to have the answer. Kiefer Sutherland is the obsessed man, and Jeff Bridges is his nemesis."
Vanity Fair , 2004 , PG-13 ,4,4,3,"Reese Witherspoon stars as Becky Sharp in this film version of the classic novel by William Makepeace Thackeray. The contrast between clever but poor Becky Sharp and her childhood friend Amelia Sedley (Romola Garai) drives the story. Amelia is naïve and trusting but has a comfortable life, while Becky has to rely on her wit, cunning and looks in order to advance herself in London society circa 1820. Also with Jim Broadbent, Eileen Atkins, James Purefoy and Jonathan Rhys Meyers. Directed by Mira Nair. [2:20]"
Vantage Point , 2008 , PG-13 ,1,6,5,"A multi-national meeting to end global terrorism, taking place in Spain, is interrupted when the U.S. president, who's in attendance, is shot. The act of terror is then replayed from the vantage point of 8 different people who were there. With Dennis Quaid, Matthew Fox, William Hurt, Forest Whitaker, Sigourney Weaver, Shelby Fenner and Edgar Ramirez. Directed by Pete Travis. [1:30]"
Van Wilder , 2002 , R ,9,5,6,"A well-meaning and very popular college student (Ryan Reynolds) is determined to stay an undergraduate forever. But while starting on his seventh college year, his father cuts him off and he's forced to turn to party planning to pay for expenses and tuition. Romance blossoms with a college journalist (Tara Reid) whose original intention was to do an exposé of the perpetual student. Also with Tim Matheson, Tom Everett Scott and Alex Burns. [1:35]"
Varsity Blues , 1999 , R ,6,3,9,"A second-string quarterback becomes an overnight sensation in his football-crazy town when he takes over for an injured star player. With Jon Voight, James Van der Beek, Paul Walker, Ron Lester, Scott Caan, Amy Smart, Ali Larter, Richard Lineback, Eliel Swinton, Thomas Duffy, Jill Parker Jones and Tonie Perensky."
Veronica Guerin , 2003 , R ,6,8,9,"Based on the true story of Dublin's Sunday Independent reporter Veronica Guerin (Cate Blanchett) whose unflinching investigations into the city's drug underworld led to her murder by drug baron John Gilligan in 1996. Also with Colin Farrell, Brenda Fricker, Ciaran Hinds and Darragh Kelly. Directed by Joel Schumacher. [1:32]"
Veronica Mars , 2014 , PG-13 ,6,5,5,"After moving away from home and her teen life as a private detective with her father, a woman (Kristen Bell) moves to New York to pursue a law career. Her plans are derailed when she is called by a high school friend to help him after he is accused of murder. Also with James Franco, Krysten Ritter, Gaby Hoffmann, Eden Sher, Dax Shepard, Tina Majorino, Jamie Lee Curtis, Jason Dohring, Martin Starr and Justin Long. Directed by Rob Thomas. [1:47]"
Vertical Limit , 2000 , PG-13 ,4,7,4,"Chris O'Donnell plays a photographer for National Geographic who's sent to cover a commercial mountaineering team as they attempt to ascend one of the world's most difficult peaks. Also with Bill Paxton, Robin Tunney, Nicholas Lea, Alexander Siddig, Scott Glenn and Izabella Scorupco. [2:05]"
Very Bad Things , 1998 , R ,7,8,10,"In this black comedy, five friends' lives spiral out of control when they try to cover up a prostitute's accidental death during a bachelor party. With Jon Favreau, Cameron Diaz, Christian Slater, Jeremy Piven, Daniel Stern, Jeanne Tripplehorn, Leland Orser, Russell B. McKenzie, Joey Zimmerman, Tyler Cole Malinger and Kobe Tai. [1:41]"
A Very Brady Sequel , 1996 , PG-13 ,3,2,3,"The Brady family is back and Carol's former hubby is ostensibly along for this ride. Shelley Long, Gary Cole and Tim Matheson star."
A Very Harold & Kumar 3D Christmas , 2011 , R ,9,8,10,"Two estranged druggie friends (John Cho and Kal Penn) meet again during the Christmas holidays, and when one of them visits the other, he accidentally burns down the cherished family Christmas tree. The two then hit the streets of New York City to find a replacement and run into thugs, drug parties, strange children and odd stage shows but not a perfect tree. Also with Paula Garces, Danny Trejo, Bobby Lee, Neil Patrick Harris, Danneel Ackles, Elias Koteas, Patton Oswalt, Tom Lennon and Jordan Hinson. Directed by Todd Strauss-Schulson. [1:30]"
V for Vendetta , 2006 , R ,6,7,5,"A future Britain shrouded in fear is run by a totalitarian government, headed by a chancellor (John Hurt) who controls all aspects of the inhabitants' lives and does not tolerate dissent. But a masked vigilante known only as ""V"" saves a young woman (Natalie Portman) from torture and tries to encourage a citizen revolt by blowing up the Old Bailey building and then threatening to blow up the House of Parliament as a symbol of defiance. Also with Hugo Weaving, Stephen Rea and Stephen Fry. Directed by James McTeigue. [2:12]"
