movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
W. , 2008 , PG-13 ,2,5,5,"Director Oliver Stone's vision of the life of George W. Bush (Josh Brolin), from his days as a fraternity pledge at Yale University to becoming President of the United States and invading Iraq. Also with Elizabeth Banks, James Cromwell, Ellen Burstyn, Thandie Newton, Ioan Gruffudd, Rob Corddry, Scott Glenn, Jeffrey Wright and Richard Dreyfuss. [1:50]"
The Wackness , 2008 , R ,8,3,9,"A depressed high school senior (Josh Peck) preparing for graduation also runs a successful marijuana dealing business from an Italian ice cart, which he pushes through the streets without raising suspicion. When he meets a psychiatrist (Ben Kingsley), he exchanges drugs for counseling, and strikes up a relationship with the psychiatrist's stepdaughter (Olivia Thirlby). Also with Famke Janssen, Mary-Kate Olsen and Method Man. Directed by Jonathan Levine. [1:35]"
Wag the Dog , 1998 , R ,3,3,7,Robert De Niro and Dustin Hoffman star in this political satire about a sex scandal that threatens the President's re-election.
Waist Deep , 2006 , R ,7,8,10,"Tyrese Gibson is a single father who's been in trouble with the law and so when he is carjacked and his son is kidnapped, he can't risk going to the police. With no one to trust, he tracks the kidnappers himself, enlisting the help of the sultry woman (Meagan Good) who may have set him up. Also with Larenz Tate, The Game, and H. Hunter Hall. Directed by Vondie Curtis Hall. [1:37]"
Waiting , 2005 , R ,8,4,10,"Ryan Reynolds stars as a twenty-something man waiting tables at a restaurant where each member of the wait staff appears to have emotional problems. They all seem to be stuck in a rut of doing something just because it is familiar as their lives are passing them by. Also with Justin Long, Anna Faris, David Koechner and Wendie Malick. Directed by Rob McKittrick. [1:33]"
Waiting for Superman , 2010 , PG ,1,2,3,"Documentary filmmaker Davis Guggenheim follows the stories of four families as they go through the steps of escaping from their sub-par public school system by entering lotteries to attend magnet, charter and private schools. The commentary tract features Bill Gates, Michelle Rhee and Bill Strickland. [1:42]"
Waitress , 2007 , PG-13 ,6,3,5,"A young woman (Keri Russell) desperate to get away from her controlling and abusive husband dreams of entering and winning a $25,000 pie contest and opening her own restaurant. However, when she realizes that she is pregnant, she tries to figure out what to do while pursuing her dreams. Also with Jeremy Sisto, Cheryl Hines, Nathan Fillion and Andy Griffith. Directed by Adrienne Shelly. [1:44]"
Waking Life , 2001 , R ,2,3,5,"Impressionistically animated drama directed by Richard Linklater about a man (Wiley Wiggins) who may or may not be in a dream state. We follow him as he moves from place to place encountering odd characters who converse with him about the meaning and reality of human existence, intriguing subjects from evolution to reincarnation, and whether there's a difference between being awake and dreaming. Also with Ethan Hawke, Julie Delpy, Louis Black, Steve Brudniak, John Christensen, Lorelei Linklater and Timothy Speed Levitch. [1:37]"
Waking Ned Devine , 1998 , PG ,4,2,1,"In this Irish comedy, a small village is turned upside-down when one of its residents wins the lottery. Starring Ian Bannen, David Kelly, Fionnula Flanagan, James Nesbitt, Susan Lynch, Eileen Dromey, Robert Hickey, Maura O'Malley, Fintan McKeown, Brendan F. Dempsey, Dermot Kerrigan and Jimmy Keogh."
The Walk , 2015 , PG ,3,3,3,"Based on the true story of the French high-wire walker Philippe Petit (Joseph Gordon-Levitt), who became famous when he walked a cable between the towers of the World Trade Center in 1974. Also with Ben Kingsley, Charlotte Le Bon, James Badge Dale, Ben Schwartz, Steve Valentine and Sergio Di Zio. Directed by Robert Zemeckis. Several lines of dialogue are spoken in French with English subtitles. [2:03]"
