movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Year of the Comet , 1992 , PG-13 ,3,3,0,"Penelope Ann Miller stars as an apprentice wine-merchant, who, while on a trip to a Scotland castle, discovers a bottle from Napoleon's very own private stock."
Year of the Dog , 2007 , PG-13 ,5,4,4,"A reserved real estate office assistant (Molly Shannon) tries to cope with the death of her only companion, her dog. She does so by adopting an aggressive dog from the pound, and tries to strike up a relationship with a man who's helping her train it (Peter Sarsgaard). Also with Regina King, John C. Reilly and Laura Dern. Directed by Mike White. [1:38]"
Year One , 2009 , PG-13 ,8,7,5,"When two Neolithic hunter-gatherer friends (Jack Black and Michael Cera) are banished from their primitive village, they find themselves on a journey around the ancient world, where they encounter adventures and people of Biblical pedigree. Also with David Cross, Paul Rudd, Hank Azaria and Christopher Mintz-Plasse. Directed by Harold Ramis. [1:40]"
The Yellow Handkerchief , 2008 , PG-13 ,5,3,5,"A man (William Hurt), just released from prison after six years on a manslaughter conviction, tries to sort out his life when he meets a troubled 15-year-old (Kristen Stewart), who's running from her broken family, and her friend (Eddie Redmayne), who is pursuing her and looking for his dad. The three travel together to New Orleans and the two young people begin to look at their lives differently while witnessing the man's inner turmoil. Also with Maria Bello, Marco St. John, Lisa Brock, John Gregory Willard, Grover Coulson, Doug M. Griffin and Eric F. Adams. Directed by Udayan Prasad. [1:42]"
Yes Man , 2008 , PG-13 ,6,4,5,"Jim Carrey stars as a man who finds no joy in life after his wife dumps him. To change his mood he enrolls in a self-help group called ""Yes Man"" and agrees to say ""Yes"" to everything for a year, but soon he realizes that sometimes acquiescing to everything brings constant and unexpected challenges. Also with Terence Stamp, Sasha Alexander, Bradley Cooper, Zooey Deschanel, Rhys Darby, John Michael Higgins and Molly Sims. Directed by Peyton Reed. [1:44]"
Yogi Bear , 2010 , PG ,2,4,2,"When a documentary filmmaker (Anna Faris) comes to Jellystone Park, she begins filming Yogi Bear (voiced by Dan Aykroyd) and his sidekick Boo-Boo (voiced by Justin Timberlake). However, when the park comes under threat, they must work with a ranger (Tom Cavanagh) to save their homes. Also with T.J. Mller, Nathan Corddry and Andrew Daly. Directed by Eric Brevig. [1:22]"
Yossi , 2013 , NR ,8,2,4,"The sequel to the 2011 coming of age love story between two men, ""Yossi & Jagger,"" finds Dr. Yossi Hoffman (Ohad Knoller) mourning the loss of his lover, Jagger. While on a vacation, Yossi meets a young soldier (Oz Zahavi) and finds a new lease on life. Also with Lior Ashkenazi and Meir Golan. Directed by Eytan Fox. [1:24]"
You Again , 2010 , PG ,3,3,2,"When a woman (Kristen Bell) returns home to meet her older brother's fiancée (Odette Yustman), she realizes the woman was her biggest tormentor in high school and all her feelings of insecurity and self-doubt come rushing back. Meanwhile, her mother (Jamie Lee Curtis) is experiencing a similar reunion with one her own high school classmates (Sigourney Weaver). Also with Victor Garber, Betty White, Kristin Chenoweth and James Wolk. Directed by Andy Fickman. [1:45]"
You Can Count On Me , 2000 , R ,5,3,7,"Two orphaned siblings reunite: Sammy (Laura Linney) now has a son and Terry (Mark Ruffalo) has become aimless and self-destructive, but the two struggle to reconcile their relationship. Also with Matthew Broderick, Rory Culkin, and John Tenney. [1:49]"
You Don't Mess With the Zohan , 2008 , PG-13 ,7,6,4,"Zohan (Adam Sandler), a former counter-terrorist Israeli agent pursues his dream of becoming a hairdresser. When a greedy landlord attempts to ignite a conflict between the Israeli and Palestinian business owners in a small neighborhood, he must come to the rescue of the entire community while trying not to reveal his true identity. Also with John Turturro, Emmanuelle Chriqui and Rob Schneider. Directed by Dennis Dugan. [1:53]"
