movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Zack and Miri Make a Porno , 2008 , R ,10,2,10,"Two friends (Seth Rogen and Elizabeth Banks) have had a platonic relationship since childhood and are now roommates down on their luck. Mounting bills convince them that the easiest and fastest way to solvency is to create a homemade pornographic film. Also with Jason Mewes, Katie Morgan, Craig Robinson, Traci Lords, Jeff Anderson, Jennifer Schwalbach-Smith, Tom Savini and Gerry Bednob. Directed by Kevin Smith. [1:41]"
Zathura , 2005 , PG ,1,5,2,"Sequel of sorts to 1995's ""Jumanji"": Two bickering brothers are left at home with their teenage sister, who just wants to be left alone in her room, when their father runs to his office for a few minutes. The youngest boy finds an old board game and when he starts playing their house is transported to outer space, where they're attacked by a meteor shower, a dysfunctional robot, and lizard-like aliens. The only way to get back to Earth is to finish the game. With Josh Hutcherson, Jonah Bobo, Dax Shepard, Kristen Stewart and Tim Robbins. Directed by Jon Favreau. [1:35]"
Zero Dark Thirty , 2012 , R ,4,7,9,"The events leading up to the killing of Osama bin Laden after the 9/11/2001 Al-Qaeda terrorist attack on New York's World Trade Center and the Pentagon. Also with Joel Edgerton, Chris Pratt, Taylor Kinney, Callan Mulvey, Siaosi Fonua, Phil Somerville, Nash Edgerton, Mike Colter. Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler, Jennifer Ehle, Harold Perrineau, Jeremy Strong and J.J. Kandel. Directed by Kathryn Bigelow. [2:37]"
Zero Effect , 1998 , R ,2,4,7,Mystery/comedy involving an agoraphobic P.I. (Bill Pullman) and his stoic assistant (Ben Stiller).
The Zero Theorem , 2014 , R ,6,4,6,"Struggling to focus on his mission to uncover the meaning of life, a man (Christoph Waltz) petitions his employer to allow him to work in the solitude of his home while waiting for ""the call"" that will presumably answer all of his questions about our existence. The management agrees initially with stipulations that include a regular therapy session, interaction with a brilliant teenager working on his own computer mission and a sexy young woman in a virtual world. Also with Matt Damon, Sanjeev Bhaskar, Peter Stormare, Ben Whishaw, Mélanie Thierry, Lucas Hedges and Tilda Swinton. Directed by Terry Gilliam. [1:47]"
Zeus and Roxanne , 1997 , PG ,1,1,1,A dog and a dolphin form a friendship as the humans around them are amazed and thrilled at this unlikely bond. With Steve Guttenberg and Kathleen Quinlan.
Z for Zachariah , 2015 , PG-13 ,6,4,5,"After a nuclear event destroys most of Earth, a scientist (Chiwetel Ejiofor), a coal miner (Chris Pine) and a 19-year-old woman (Margot Robbie) seem to be the only survivors. The two men compete for the woman's attention in a dangerous love triangle clouded by nuclear radiation and jealousy. Directed by Craig Zobel. [1:35]"
Zodiac , 2007 , R ,3,8,6,"Thriller based on the case files about a serial murderer in the San Francisco Bay Area who haunted the lives of police detectives and newspaper reporters for years, by killing and disappearing, and then killing again. The true identity of the killer has never been established. With Jake Gyllenhaal, Mark Ruffalo, Robert Downey Jr., Anthony Edwards and Brian Cox. Directed by David Fincher. [2:40]"
Zombieland , 2009 , R ,4,8,8,"After the planet has been overrun by a virus that turns people into flesh-eating zombies, there are just a handful of uninfected humans left (Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin) and they try to make their way across the country to find a place free of zombies. Also with Amber Heard and Bill Murray. Directed by Ruben Fleischer. [1:21]"
Zombie Strippers , 2008 , R ,8,10,8,"A super-virus is spread to the dancers at an exotic dance club and the audience loves to watch as they transform into zombies and acquire powers that allow them to do extraordinary things. With Robert Englund, Jenna Jameson, Roxy Saint, Joey Medina, Shamron Moore, Jennifer Holland, Johnny D. Hawkes, Jeannette Sousa and Penny Drake. Directed by Jay Lee. [1:34]"
